"","word","A3QJPB0NZU5PY1","A2RPQGUWVZPX7U","A11KMPAZSE5Q0Q","A1U1QL617G5DU3","ACTW5YEWV9OR0","A1RE0RBV10VAVC","ALE5RDP8XZL3","A35QV79054LGTU","ARGHS9P7FVR3W","A2TG01V56PAL65","A1SYR0UUMZM2VH","A3OQ1JKWS02NMF","ANC446SIU64J6","A14SNQOYGXPZ7K","A1WXZPUAXDE0DQ","AIG6UTA1PWMBE","A1JY8OZHGDL9GR","A911XMMVXT7IU","A39GZHNGT87G5N","A5FJBKJ8K5I6S","A26LA7PUZG0N8S","ARNTOT4L28BBP","A2NJGU26SOMOKV","A2BJ35SLVKCUL7","A3UDP95JGEX3H1","AOZ06WXWI630","A11GA4B4SEYK44","A8L4UTQ8RXDFS","A36TOO4WWGEEPW","A3SWH7DHWHP0BO","AJDL05304W8E","A21TTUZSQ5ZE6C","AK9FN3FCOY9Q2","AEUGCBFJPU0MX","A3TK9CLBA65ZZE","AK7YVYGMIF6T0","A15QI1G4FCMV5E","A7LIT8S8LGRAH","A11AUVZ4MCA7VU","AEX85SLEN727","A1FNEVG87BS5K0","A3T8CCUYDNT61C","AER86HM7LU5G","A1VXGA62J77RO","A1H314LD953G5Q","A1RWNYJA5X25YH","A2DGJ8T7C3HMCQ","A2I2OHYPL49ZAI","A2HS4FQ4DR4GIK","A23PSX2ZO4F65Q","A3NMC1E54BML7K","A14N0AMVXOBZYH","A2LFX0LP92GLCQ","A2MSCP411YP41Q","AZTDJC8RWO5C5","A127R5QI5OGBIK","A2VCTDV17CKH2X","A2AB80GWC0LU0P","A25OW5OQG4B8FR","A2MVFSJBKHUPH9","A2XPQ8KYFKI6FD","ANL7UI5ES4L18","A1LDS7FXQNGLEN","A5E076UK5CA9J","A2JRWVPVWD1KAS","A117RW2F1MNBQ8","A1JBTEJN14MFFA","A21L2ZM379FG7","A2GNS1SQLQNMR2","A1RCM1Y87J0FGW","A3M0KT6KUJEZD1","ACUXGYJAQUZAE","A2TJHKHM8T2SV3","A14WWG6NKBDWGP","A2XKIJJPWTOQ5Z","A2U750ON775R3L","A1IWL4WQTKN1PR","A2L6GS9A2MMQK4","A1W079WCHEQKX6","A38UOBWJF4WFGG","A3S3YW6II31OZV","ACYV5TUADOWEA","A2OIFE4TAQ7AEI","AWZ83IBW10B96","AOTSROWZG1XS1","A2EAIMII6MSIO5","AA8O3Z9L0FSW1","AM7UBKT777C3R","A3NOO9K3CY1YU5","AKEZ83FQITFD8"
"1","If",441.341047670776,108.620019434572,50.2073743535335,33.8458504835531,201.78608115491,222.862843308424,429.719944257626,9.77002015420552,55.816010821355,392.550776920802,24.0759433799779,34.7817403040407,-107.556067749489,2.8433188433187,133.584591049555,-27.95592048401,-24.3959098127598,-39.2871754524003,159.947331934549,-36.4625758893987,112.690233779588,-24.3863166699201,54.5796930331342,-58.3137605740068,66.3318439878158,-9.28112657192807,-109.60235340405,-84.6359034216579,146.940722956059,110.786002770375,164.324031097537,49.5271877140405,158.116313693519,194.636453377035,-10.6125274459975,312.802747682106,81.134088032295,-112.933771576481,67.0775624592452,100.010711549909,-10.7655540786106,-102.15088750329,83.5556005343888,46.8948415766546,15.5170447227264,40.3702714083652,91.9306275781011,237.715894201795,85.2899232249965,-24.1375889242464,6.80611399330377,-67.3096130995693,98.9006414072847,97.9478370848579,50.4675964348445,-68.4861361813571,124.203327426167,25.1105193609643,-2.74846508457666,120.012254501678,-200.180415770439,-33.1623892321028,75.1921635914573,106.414850506549,32.5236183235811,151.879154799934,0.5548332285664,-3.56015835507401,-27.0450821834659,-6.65339624232103,10.7146657705952,-53.1795916154104,-49.6936050135642,192.432415974724,234.285482103806,264.48707211046,-85.6354315259117,-14.9724174432043,-3.6221224440676,3.78519344444383,-46.6442903248654,-21.9665458363125,-53.3203432801989,-86.6023604161043,NA,NA,NA,NA,NA,NA
"2","you",384.439901013958,109.242805321953,145.01061187102,62.798655406056,141.311515470693,182.382692942352,-128.463602655292,101.112601569158,127.843055801759,203.92388195041,6.45598383996978,86.532818227884,-109.14754791709,-50.5314685314685,92.919552540277,-13.5350043215212,-37.4087956297724,-90.4197482297397,34.8020253879112,18.0650429371571,79.9168961896438,-75.7376279581806,44.723808892254,-64.7542524800867,27.2004365683887,-13.9116574349244,673.017072217481,-106.880116460542,-1.04422821521147,128.47098676323,4.73753316039286,33.8200321176957,123.56734043522,24.2651571207938,-44.4096263937822,222.905052241467,930.514509900502,-123.720025819244,-32.8302129342751,18.143532362828,18.5094631774553,-84.6099674736645,127.007680723229,-12.4503005417376,-75.6642158807533,-8.87084197080967,74.787087389426,45.9721163721,-30.5531863107819,2.24449637928882,133.101519433682,-92.4846610600225,-2.37966646970817,146.514678881479,31.198953798333,7.33637147379678,124.046921457713,-33.8956642348648,-63.7401397648813,86.4081081615967,-141.584179202733,-17.623860951053,1.07192336302249,200.589399555226,-97.0777008724803,95.6448341032476,-39.2399370093145,-0.421627564441149,-5.85157810708443,-16.0312203892422,-25.7934533988995,-9.80526225247204,-54.3244143892454,NA,108.512580804829,78.2294146346683,-125.254304843916,16.0264262210892,9.89663232050558,21.9733738097784,-30.1872827131641,9.02309658921417,-48.80267945761,-49.2655578834865,291.661544151268,190.678753557721,189.659086852219,-108.676019472348,NA,NA
"3","were",300.538754357152,77.8655912093525,63.8138493884907,56.7514603285492,343.836949786445,191.902542576255,-73.6471495681847,126.455182984101,79.8701007821596,1.29698698003071,-25.1639757000358,95.2838961517297,-98.7390280846934,-53.9062559062559,28.2545140310016,0.885911840968004,-54.4216814467928,-83.552321007081,0.656718841290706,48.5926617637166,45.1435585997085,-125.088939246473,-2.1320752486433,18.8052556138437,-7.93097085104458,-50.5421882979317,158.636497838986,-164.124329499403,18.9708206134945,15.1559707560837,-14.8489647767789,50.1128765213464,-60.9816328230765,-61.1061391354446,-54.2067253415748,253.00735680087,-62.1050682313108,-129.506280062016,-37.7379883277619,24.2763531757458,-32.2155195664466,-89.0690474440059,-94.5402390879046,-11.7954426601348,-107.845476484228,-14.1119553499825,11.6435472007564,-108.77166145758,51.6037041534069,-31.3734183171685,-60.6030751258998,-131.659709020483,-13.6599743466725,2.08152067809098,10.9303111617812,-116.841120871034,59.8905154892326,1.09815216933587,282.268185554837,37.8039618215323,-145.98794263504,-60.0853326700145,-30.0483168654809,128.763948603904,-83.6790200685413,61.4105134065568,-44.0347072472133,-7.28309677381258,-32.658074030662,-33.4090445361604,80.6984274316039,-39.4309328895454,-74.9552237649224,NA,71.7396795058369,155.97175715888,-132.873178161935,-3.97473011465727,-6.58461291493082,-59.8384458248636,-23.73027510145,0.012739014731519,-57.2850156350567,2.07124464913177,-35.3723564219602,46.0806407949958,-184.589208758273,-266.819222337382,1574.64610603798,NA
"4","to",NA,70.6200194345527,106.20737435355,136.845850483562,327.786081154943,222.862843308441,-467.280055742401,330.770020154214,155.816010821361,1.55077692078602,-36.9240566200251,37.7817403040367,-97.5560677494869,-49.1566811566812,-18.4154089504492,60.0440795159896,-12.3959098127514,-72.2871754523997,-20.0526680654691,83.537424110598,34.6902337795798,-88.3863166698873,-18.4203069668519,-18.313760574008,52.3318439878224,21.7188734280803,-28.6023534040177,-129.635903421684,-42.0592770439172,376.786002770371,6.32403109756439,113.527187714041,-91.8836863064841,-36.3635466229726,-74.6125274459895,142.802747682073,-79.8659119676865,-131.933771576468,-26.9224375407859,4.01071154990928,9.23444592135669,-89.1508875033163,-73.4443994656368,-2.1051584233433,-97.4829552772782,24.3702714083629,-57.0693724219047,-97.2841057982138,-43.7100767749713,25.862411075745,6.80611399326344,-113.309613099566,8.90064140725548,-15.0521629151385,34.4675964348829,-68.4861361813725,12.2033274261929,-11.8894806390679,NA,26.0122545016621,-121.18041577044,-60.1623892320916,-6.80783640847556,223.414850506548,39.5236183235809,83.8791547999397,50.5548332285826,-23.5601583550677,60.9549178164951,-12.6533962423225,160.714665770602,-36.1795916154004,-80.6936050135684,-48.567584025272,84.285482103827,128.487072110457,-130.635431525893,-43.9724174431623,-50.6221224440579,-107.214806555579,-16.6442903248772,50.0334541636958,-50.3203432801754,-92.6023604161046,-54.3045552754771,NA,NA,516.467183392729,2340.75272041144,234.929590138841
"5","journey",166.835314386734,26.7339488715522,85.2235619409014,26.6098750960299,79.413252733699,220.462091477977,-59.1977903068601,-39.5170727710698,-84.0487642766431,186.416302068898,-40.0238543200519,14.5371299232693,-108.513468587503,-19.030618030618,-17.7406014968222,-19.8513396715644,-5.46033889785492,-271.950039339103,-32.7792007985696,60.1755182433945,42.8235458299016,-104.14287311135,-0.699727671330319,-40.5162201043788,-1.32519310934511,-6.43378088694972,-40.5052252965096,-147.856968615982,73.015967099612,65.2109227346525,-51.6084585882937,107.991409732304,-114.628552597965,81.7799720958474,-47.5980221849526,143.314270479065,-91.9638026267474,-191.865042790338,318.538685491774,-5.32518438549943,-14.3904677981516,-125.44628735504,-101.183998521306,15.1691309846778,489.610741705347,-38.8352954875006,98.2129266347481,-116.00299494663,-58.925624454026,-32.2271624065388,18.2831411953553,-129.18485290186,-37.5008979775645,209.782046067935,-48.8756167478714,-109.373597905526,92.4212975837921,-9.92039861805848,-39.706838486006,-2.00847719866234,-237.19923293194,-80.4697478268989,-37.4090375509889,202.287595749938,-137.482977656725,94.7075513164824,-27.4190179609073,-57.8675044019299,55.9224381986022,47.4574830230828,-128.825930076893,-8.30794480076288,-88.8476518919533,173.970269677457,-4.57902439114834,109.198784731513,-142.729798115997,-27.9781991218997,-27.0283486212403,-6.27390472878996,-74.3592522663091,60.9816662912851,-54.7320241673786,-71.9183477530136,-88.4740581416851,30.2863025068217,NA,-262.248830932593,1196.48618447777,24.4350094472164
"6","to",245.341047670763,20.6200194345527,82.2073743535502,21.8458504835621,17.7860811549425,182.862843308441,-172.280055742401,19.7700201542142,425.816010821361,64.550776920786,-29.9240566200251,30.7817403040367,-106.556067749487,-42.1566811566812,-69.4154089504492,-91.9559204840104,8.60409018724856,253.7128245476,-12.0526680654691,27.537424110598,48.6902337795798,-72.3863166698873,4.57969303314805,1.68623942599202,-26.6681560121776,22.7188734280803,35.3976465959823,-159.635903421684,55.9407229560828,240.786002770371,-26.6759689024356,97.5271877140412,-91.8836863064841,201.636453377027,-48.6125274459895,142.802747682073,-47.8659119676865,-121.933771576468,2169.07756245921,4.01071154990928,-20.7655540786433,-84.1508875033163,-89.4443994656368,37.8948415766567,-1.48295527727822,-22.6297285916371,14.9306275780953,-103.284105798214,21.2899232250287,-24.137588924255,-3.19388600673656,-125.309613099566,-31.0993585927445,-61.0521629151385,4.46759643488287,-78.4861361813725,12.2033274261929,8.1105193609321,-48.7484650846001,58.0122545016621,-153.180415770439,43.8376107679084,-21.8078364084756,207.414850506548,-8.47638167641909,106.87915479994,18.5548332285826,-33.5601583550677,-4.04508218350492,-31.6533962423225,-99.2853342293985,-26.1795916154004,-80.6936050135684,NA,53.285482103827,112.487072110457,-128.635431525893,3.02758255683771,-35.6221224440579,-31.2148065555794,-36.6442903248772,74.0334541636958,-55.3203432801754,-13.6023604161046,-5.30455527547714,47.2768663204451,967.907382462751,-58.5328166072708,1620.75272041141,-41.0704098611442
"7","the",448.439901013957,65.2428053219526,49.0106118710204,-41.2013445939443,-130.688484529306,212.382692942348,75.5363973447072,6.11260156915743,37.8430558017605,-30.0761180495916,-13.5440161600305,-11.4671817721168,-104.14754791709,-49.5314685314685,-10.0804474597238,-70.5350043215212,-15.4087956297721,NA,-20.1979746120892,26.0650429371573,68.9168961896441,-74.7376279581799,22.7238088922524,-44.7542524800821,-2.79956343161107,-13.9116574349257,-14.9829277825161,-130.880116460544,-21.0442282152113,NA,19.7375331603928,81.8200321176938,-96.4326595647803,-32.7348428792086,-0.409626393782154,42.9050522414711,1.51450990050135,-124.720025819242,30.1697870657261,42.1435323628275,28.509463177455,-88.6099674736611,128.007680723229,3.54969945826093,-97.6642158807532,-25.8708419708098,431.787087389426,-99.027883627897,-31.5531863107822,22.2444963792882,-26.8984805663182,-135.484661060024,417.620333530291,95.5146788814762,46.198953798332,-82.6636285262033,28.0469214577127,-51.895664234866,-47.7401397648813,-22.5918918384028,-188.58417920274,-47.623860951053,-12.9280766369782,39.5893995552261,-113.07770087248,39.6448341032482,-17.2399370093153,-50.4216275644402,-29.8515781070835,-30.0312203892415,20.2065466011027,-23.8052622524729,-85.3244143892454,-89.8600132847263,106.512580804832,22.2294146346685,-138.254304843914,-15.9735737789098,-52.1033676794943,-82.0266261902215,-60.1872827131636,-6.97690341078634,-46.8026794576161,-58.2655578834864,179.661544151281,-57.3212464422796,-172.340913147762,NA,922.699413224685,-41.569325999472
"8","North",508.637607700346,41.4883770967524,70.6170869059609,-20.2957347489572,-21.6376158978036,131.422392210163,-153.830696481076,28.7977643990438,-48.1028542374413,-15.3299079903469,-55.7839352400412,-2.96502592442373,-108.330508252297,-44.2810432810433,-48.410524478273,-48.6931719965428,-60.4345672638135,NA,-29.4885877053294,39.1202805902759,58.3702210097729,-129.440250534765,63.012040610461,-77.6352362922304,-23.0623782704781,4.82728083906228,-67.7440765395129,-152.368542538263,38.9858694422003,1383.84095474894,-15.4354627139505,67.405720924999,-145.530606081373,104.522564608319,-35.0038242893674,73.1096613602682,-29.724646363123,259.70746569521,205.35423627875,66.409173988664,-22.9405023103483,-108.528127414351,-97.0881588990384,33.8594152214694,-78.0267370877031,-32.3530687291552,-63.499992987913,-127.515439287264,-44.2394053824041,-4.99133301362526,-64.3076696854814,-125.834756980942,495.059717776363,-98.3516375252943,131.66166852523,-81.0186132158649,27.7341095207524,-48.9080314264623,-27.7234891254437,3.19981548146742,-150.39170606734,-76.546804388976,-32.1685570939835,-140.061502347418,-131.280339264602,83.1761927098653,-32.8294774851113,-24.144565983185,-35.4645699542406,-2.78686868307931,-159.809691737895,-22.0566035266179,-79.5860331405994,179.555128196365,25.9667782068418,57.7140996830906,-105.492051479956,-21.9758864504048,-71.0658581503673,-48.6502654595057,-67.2732674897363,-48.9976185597506,-64.7673518124974,-47.59195281825,5.5937430047981,-58.517471967729,119.162495631213,100.037574797536,2299.59279885123,-41.5671582761277
"9","of",643.341047670763,108.620019434553,74.2073743535502,-27.1541495164379,-117.213918845057,172.862843308441,-124.280055742401,-28.2299798457858,5.81601082136145,17.550776920786,-20.9240566200251,2.78174030403671,-95.5560677494869,0.843318843318857,21.5845910495508,36.0440795159896,-37.3959098127514,NA,-33.0526680654691,27.537424110598,142.69023377958,-87.3863166698873,67.5796930331481,-68.313760574008,15.3318439878224,-39.2811265719197,-44.6023534040177,-80.6359034216842,35.9407229560828,499.786002770371,-10.6759689024356,-7.47281228595879,-111.883686306484,-5.36354662297255,-40.6125274459895,262.802747682073,-46.8659119676865,-111.933771576468,81.0775624592141,88.0107115499093,-20.7655540786433,-77.1508875033163,-73.4443994656368,6.8948415766567,-104.482955277278,-6.62972859163709,373.930627578095,-81.2841057982138,1.28992322502873,5.86241107574499,726.806113993263,-124.309613099566,18.9006414072555,-72.0521629151385,894.467596434883,-78.4861361813725,12.2033274261929,403.110519360932,-49.7484650846001,-4.98774549833793,-153.180415770439,-79.1623892320916,-39.8078364084756,6.41485050654808,132.523618323581,16.8791547999397,-2.44516677141737,-63.5601583550677,-3.04508218350492,4.34660375767745,-61.2853342293984,7.82040838459956,-18.6936050135684,NA,105.285482103827,64.4870721104574,-136.635431525893,-28.9724174431623,-50.6221224440579,63.7851934444206,-66.6442903248772,-21.9665458363042,-57.3203432801755,8.39763958389536,-37.3045552754771,74.2768663204451,85.9073824627511,-257.532816607271,NA,-10.0704098611442
"10","England,",224.934167729928,2.35673475895211,59.0267994583716,36.5626800185235,-152.06131295055,99.9819411118845,-90.381337219752,63.8255086438734,-2.02171929624402,341.78940709852,-38.6438138600572,-24.7117921528842,-105.104948755106,-14.4054054054054,-65.4056400060968,2.56957649092484,-63.4732247148756,NA,-35.9245073451897,66.7031370699538,167.050208239966,-76.494184399643,30.444388187774,-36.9567120104529,-21.4566005287786,-12.0643117499557,-42.885799675008,-174.101181654841,152.031015928318,20.8959067275088,-19.1949565254654,283.284254135957,-139.177525856261,206.408675839611,-35.3951211327453,313.416575038464,-28.5833807585595,-224.651297033112,-30.369089901714,8.80763642741883,194.884549457947,-109.905367325385,-88.73191833244,220.823988866282,-112.570518898128,-26.0764088666733,55.0693864460787,29.2532272236868,-31.7687339898369,-15.8450771029955,34.5785466357737,-135.359900862318,101.218794145471,950.34888786455,55.8557406155777,-83.5510902503573,123.264891615312,33.0734177861434,-53.6985131662872,-51.6126235387272,243.39700363576,-74.9312195458603,-38.5292777794915,-37.5378552013838,-60.0842968527858,94.473230619791,-12.2137881988052,-14.7289736113023,-43.8840577249763,325.079658876164,-64.3340492463915,-26.9336154378354,-61.4784612676303,-93.322159581997,10.6480743098566,2.94112725572375,-122.348671434018,-30.9793554576472,-28.5095938566768,45.9142756365679,22.0977553454045,-44.028691283197,-77.2143603448193,231.418454779605,-79.5079587149267,-21.311810255903,124.417608799675,1011.60796620234,1842.43287729104,-23.0639066911112
