"","word","A2VAMUTJ9WGI4P","AHP7FGH4N2TX5","A1WNHQEMEHNCPT","A11C7PRG75IWO0","AWZ3AH7JH0DRO","ABMVPQ5CQFHGS","A1VXGA62J77RO","A7ZNPY1T3SX8I","ACPUTK2MNMYHB","A3BFHFBYDCCIGV","A2BNOEYZ3VRW2R","A29Y6BVD19FBAE","A37PQ1206C9RZP","A98XHW6B1VSSQ","A1JGQHSSW8L24P","A3EQVDHHKZRC0K","A2XJRU950S5J87","A1SVVVJWT7H51V","A3GLUDQZGEJL5G","AVG2BI8CS5YKX","A32WFJGJ0VUKOO","A36JU4ZU054BRK","A312SMYBQW6E0W","AJDL05304W8E","A2UODR1DE3DXTT","A1FJ2AUFVA4PIW","AEUGCBFJPU0MX","A13YITU82HLBRK","A2BJELRJ9N4NA5","AMYL22GHCON9A","A1M7SLIGEI3IH5","A3WJJI7FNF5T5","A2JKCS6UCAUARS","A36S7XIINCHR8R","AOTSROWZG1XS1","A3AA8NU3WAJ3ED","A38UOBWJF4WFGG","A3P9YDDTO87QGZ","A2MVFSJBKHUPH9","A7LIT8S8LGRAH","A33V10XAI3IWXS","A1DQ7T6BB0VJDP","A3VKJDJVRTFA1A","A2I6WWFA5KE0MS","ACUXGYJAQUZAE","A2PURNW8W7L0LT","A2U750ON775R3L","A3U3DA0O35IORB","A3CWWX1NWA00S3","A2LFVSF501ZT5W","A3GYYRNHP635XM","A7MOPEHSUGVQ","A11AUVZ4MCA7VU","A29FWCDRAWIM8K","A3CT5E0WZJL8PG","A3O1NDWT4BXNX4","A1J8TVICSRC70W","A2XYF4PPQETJYX","A2V1ZN7OXOH7J4","AZACM8ZW3MN8N","ACB0CSL0QMRGQ","AP0ABE3ZSEGPC","A3RILJPBGAOWN4","A3S3YW6II31OZV","A2JRWVPVWD1KAS","A2FZ90AHSTSHXA","A2TJHKHM8T2SV3","AWMGC78CSF6YL","A2AEA24UF8Z47U","A40F6EHXE5HXU","A3ULFB0PQ1471E","A5U9HUMS31DIR","A253Q11TZPQPIZ","A1WURYN1U64Y1T","A1INWCFGQI236V","ALE5RDP8XZL3","A279TEENVAAZNB","A289P9QG98HRAZ","A2EB58DNAYBZTM","A1I02VZ07MZB7F","A2BZN95HXC8BL9","A1X55V63BZ8MKL"
"1","Tourette's",121.529191647849,201.888899418441,167.733434362872,86.2559973796295,899.008219780904,15.5065770285473,-210.280448601475,102.826736002147,-36.9109700985532,368.98442009004,-29.6742605858571,104.722987076205,133.646844891858,68.1062267922647,45.2490098022024,-68.0883782992374,3.54785708880028,230.515325724443,106.809748883281,117.768691205376,216.535042591025,342.949737589022,56.2714285714286,158.530852544743,8.58656099964712,129.951007318415,134.039776206486,75.1920361606049,232.809219367009,71.5818411582913,-1.0483503740545,100.318777292576,721.189617002203,390.026021056424,-20.0838407983741,238.082880422911,22.6898301734242,70.8319043550697,351.676392619526,-37.2613702151529,146.495509182391,-121.926243618261,251.462667860341,86.8842319942864,137.636611706309,-8.21630015592347,118.673926739474,-169.566966896412,-16.0580520950018,562.691063485603,-24.3899825438154,147.894993531389,-17.241111154465,-49.2910117162104,490.305598747969,162.220423731879,129.802390143218,-191.472470969891,591.199586767154,-152.227188081936,126.956153953098,384.240894528335,419.654031049709,39.4050988613505,176.485246965684,0.965060745196491,33.5958950909491,26.6439339879744,296.861640322962,29.4952711332337,21.2577529691929,142.181648860055,2182.17352845043,49.5464676861025,143.098306073567,-69.8072261156116,-2.63711296809612,NA,NA,NA,NA,NA
"2","syndrome,",61.3193033033714,471.346959073101,13.6945793121247,361.356533939818,584.248707077448,392.896916566458,270.022788895648,60.4069126283234,-13.090115702725,190.014493844623,-160.027613929042,1.30624691908473,NA,34.0681551773624,-23.3809731868832,-104.651825534427,185.927437344668,64.1241631166008,-53.5879933160088,-12.9665873111587,40.833285491485,-50.9278474569189,-38.6142857142857,770.161983293087,-69.7609361435794,93.2811288115506,-33.1318908317711,-50.0586771885094,82.9554298087166,5.37264085421359,402.401271981291,-19.5633187772926,244.518442792495,291.356976195361,28.0710360264813,39.0142731313925,-92.4604867977812,-43.6158553791201,183.107995673462,-57.7538216339195,-73.3751423219175,-65.4270208365343,NA,-60.9157806090906,-100.324094701734,-175.297921933543,6.05149992779153,297.747286556154,363.162156402631,161.36322280631,2.4742977886947,41.7180840709339,-161.808837097591,131.914079385047,32.9843815224472,136.815115936541,4.49940284345689,-195.519302569076,206.153474837213,-166.369646182496,40.6374823100806,142.290160788387,69.4694146410968,56.1210657561137,48.8694422128815,-14.158087665095,-78.6200496208028,9.29731517225275,-107.920949359965,-123.894301014454,-151.48538339311,70.8785538583831,1065.03058806817,20.4158158626836,-31.61661213337,-20.1704868133581,181.028990126305,1587.82509516954,NA,NA,NA,NA
"3","a",74.6401965476885,447.011436310424,13.3837389060272,45.1608264212249,836.172605450055,380.019632869594,-47.5513111274472,212.048325637692,131.476719463957,332.255083881066,675.14555932569,-27.0276743376046,93.4242913655781,68.7635822581975,13.5791629003066,22.8405965840973,109.964079391409,98.9948622539082,138.230069089502,-53.8488154435753,12.21922869501,-112.948527824583,0.299999999999979,767.211029279915,82.4590867105826,119.92210075677,-2.50522713762983,162.935616018783,12.1251133423507,-52.3009615784204,-29.0017491757916,-155.620087336245,607.149049114856,286.004617306827,-34.6899493748635,77.4654147992303,-9.66302256739441,288.802066747286,163.560820104867,132.306567016022,-52.3403543566062,-57.4332385827807,NA,-93.3158814363299,-109.009745966139,-101.950896154536,-6.92791456575139,-180.738685823692,-25.0761756161605,1224.74049737161,-37.6114595513979,54.3028083875335,45.6493553573716,21.5548081949504,-80.5853562817079,-89.4273464260696,6.0755044455753,-156.893955362507,167.7845793977,-477.509310986965,7.08810916596259,1007.68429086867,18.9924833719708,-31.1511990858335,234.943004190389,-7.14327494737876,-111.347607315226,1758.52436464646,-16.1816668235843,68.9891218039593,-131.430474291545,132.453793844988,126.887065010074,-18.629398724779,-45.3359577889092,-125.076572395342,-9.64218511845424,115.971411189695,NA,NA,NA,NA
"4","neurological",111.94896833675,2.97278010910044,-52.1888555355928,23.0549242592865,288.527245187719,42.7258979527809,-2.88692359569383,117.66638274981,38.4473211097692,211.924272580953,115.032446100433,-55.4435326096566,63.2518567865769,36.1823700220496,-51.4910242195799,-124.961483828873,-192.211303422864,-59.7023490598899,17.6052332819229,13.2392482384962,-9.06144320983749,-32.2950923190425,-17.9571428571429,55.2685910480287,595.28155528611,-123.709235667908,-59.6168897170737,-54.3065371412467,-40.483201516397,-18.9997582335483,-73.9475950848046,-16.9170305676855,282.531965421624,-60.6358892214382,-36.3935944480149,111.220095005953,202.99046411582,919.727423823478,109.813186511682,-31.2764673776484,-43.7631878089094,93.075310818308,NA,12.4842572011275,-123.441975477581,145.946943399328,-136.08121963713,-27.1954738014018,-32.4984690903213,212.346744844318,118.881456791229,39.2488124522068,746.8943407318,-35.701193918666,178.948033199006,-223.968960677479,223.408364742664,-46.3788077715389,110.291810627028,-43.9422718808195,67.593497239125,62.1423620082802,1.02326386701705,-123.026834928158,-15.2831435286835,-40.7886424342389,-7.97221548539713,70.3371716194249,-43.5731803111025,16.2744154286388,-107.255974306197,16.7878388634049,33.4594092149674,17.8077713329819,-67.4718575125423,13.9192952798858,-114.969319156908,145.520226662016,NA,NA,NA,NA
"5","disorder",45.1094149589096,200.805018727763,-12.34427573864,59.4570704999914,1409.48919437402,325.287256104349,-97.6739736072405,146.987089254494,147.73073869311,135.044567599176,NA,-61.1104932380014,674.041832997121,-14.969916437533,-25.0109561759848,196.784727230389,-75.6929823994922,256.733000508764,4.01426448467886,241.298134172288,113.131528391925,608.194567497125,NA,69.7931140414419,636.891566713191,55.6112503047023,63.6964421299968,-57.3093905375997,20.1016402504203,-7.8365594498654,77.8508943366547,-77.4454148471615,295.847268582799,-79.3120686657054,-19.7740871486871,-14.0543341601282,595.389196231015,-37.0636151133191,108.539598727385,-13.2462730526775,-53.2457938262537,-85.9277980548152,NA,-38.7157932124934,-112.284801109784,207.620456288832,-122.570926883901,-93.9384599913257,32.3823649002826,261.035382126971,5.33857812118267,92.5411746105075,191.623436959281,9.11917048628539,46.6631642969285,82.4098081412155,61.1964155437227,-190.566134168255,87.1073629072722,NA,44.3188106670659,192.339427048423,79.2847982324548,95.8370326508693,380.25363746007,10.7187639246193,-80.8359943326077,583.950696356529,-152.703539042914,12.7161268378463,-99.2285197554149,32.5754588567079,122.887647685915,121.285164039251,-86.3315303403121,75.4662524888939,-6.30490677928861,210.59338467208,NA,NA,NA,NA
"6","characterized",46.1588566812104,-116.485279545565,613.849999515169,43.9543876991103,43.2867578911425,107.335558414889,-67.1901610928072,-159.913793876362,0.626466713933922,157.894198826397,6.38579944359184,-42.0267924525704,-18.9456372660593,-58.7795583630547,-1.86104123047865,-74.3980365936884,-59.5908836787072,-19.3111864520533,-139.997024518766,66.9745267550481,15.6403138897218,-89.4175072730843,NA,3.63746029967544,-38.3709475706604,38.9606428389396,75.5547773211587,-48.0558237921584,30.3705880418986,41.209442070531,30.6027825598306,-17.0349344978165,31.2031396313297,86.0331556396286,-36.5484712728469,156.288702297473,-96.8592189129786,215.175183557677,75.3815834577562,-9.7840159588911,-113.892536304573,-36.4239119634112,NA,-169.715730195467,-105.48126906953,-86.9714348230479,-7.45879282543701,-243.509727253921,-72.7186775879723,15.674585523655,116.01717645874,64.4257219126317,-109.53793332507,-64.9062850199039,-33.7307495754741,-152.563652882152,103.711352042399,-74.33197617236,63.3379225569666,41.2001862197392,67.9121688821397,14.0930957482446,173.207880275658,38.2571981770855,67.3326612241281,42.3345059760465,-68.7562707735945,68.6837904351489,91.2094093718504,-50.336012423663,-136.512837943893,-6.9090661349208,13.6023495972305,10.9384231564147,115.2430606944,-18.7174440223662,-47.6354222513132,258.751937159499,NA,NA,NA,NA
"7","by",113.850084892149,217.553376655758,24.4225939567891,26.0602898610486,270.932118153479,310.629293331702,-95.8545486245605,30.468149011521,20.655865068122,246.22501012651,731.498912668849,6.38906581948154,104.226797312938,-34.1983461269069,21.2091458894078,389.404043819282,-149.415500864434,423.386024861745,86.6278112888129,5.88646307297665,34.9209857945693,-101.070942778624,NA,27.5798985315616,-0.193416146187655,1.59197926361751,252.666439900603,-2.81367063212919,18.9789029006463,327.908238725659,102.548628468844,186.262008733624,435.820223324562,208.673662167894,-18.8448261996955,45.5340220907505,7.48729440380692,174.249826481485,66.1292170509406,22.7990184347788,87.5302971477299,-7.93246136449994,NA,-85.5158688329247,-76.0490395580886,425.130725623088,-62.3054877540585,-165.052939276211,-83.2963841138115,452.068338050951,-32.4757398838864,32.4797178479584,-25.7829186994986,16.3497170937125,178.735860943812,21.9779613692568,29.3784917453106,-39.8471237633281,166.830691327639,NA,46.4067808089774,96.6350246086369,107.177099780611,353.13283401941,96.5588089432005,-52.0201265370933,-109.131662603424,58.8709834621851,-81.3990771406314,82.3786939516574,-72.687337929241,140.756888846662,525.030005392337,-37.4987469013462,-14.6210395819667,121.286688302406,-25.3082882128591,117.203121687177,230.458733205375,NA,NA,NA
"8","repetitive,",57.73907999229,-7.56916023623383,-47.2277105863546,1.15546081946275,943.767732484294,424.116237490673,-26.5836860985805,-23.7534406240193,-10.7318244943955,376.954346335509,124.679092757275,23.1397272332572,99.449350839213,-92.855701592846,-32.1210072086811,70.4750689359425,-70.8317231670212,199.906488332274,-38.7925089173881,-66.4960302780558,-15.7632003093968,-164.172677365001,NA,-21.100278203618,94.9340581428801,120.620885825245,13.211443244694,-73.5572504903349,128.663008925307,183.791041462372,-8.49797272943977,NA,245.860791211917,8.69506591749496,-36.238717623183,227.151487714432,-20.1598528553812,544.279664089279,-11.7552104343921,29.2310812035943,-23.6338393132454,-59.4254663999728,NA,54.6842445977223,-150.402681885631,58.8653216217041,-72.7036464488227,550.118779651117,-66.2782605926703,454.018904164981,214.745737123717,177.071902991782,-27.6733852113299,-38.4961028174282,423.626815973487,96.6257315271948,70.1053774429287,-122.425639370718,215.245698697089,NA,32.2748255961102,46.1916282683159,56.8386474583765,132.689131966599,59.1010517185049,-15.9117908445244,-105.1881601972,50.9905528037009,-198.355769994055,-57.1151567190593,-135.999110668502,-38.5152561382693,19.3164688327044,-18.3228804904509,-10.1867757194848,-184.443965417862,-95.3032160625034,-76.7114838354682,NA,NA,NA,NA
"9","involuntary",74.73907999229,-17.5691602362338,1.77228941364543,-8.84453918053725,383.767732484295,504.116237490673,-114.583686098581,-39.7534406240193,-12.7318244943955,235.954346335509,113.679092757275,-15.8602727667428,145.449350839213,-83.855701592846,-49.1210072086811,-36.5249310640575,-16.8317231670212,142.906488332274,171.207491082612,-20.4960302780558,-7.76320030939681,-155.172677365001,NA,-21.100278203618,19.9340581428801,-51.3791141747553,45.211443244694,-14.5572504903349,87.6630089253073,47.7910414623725,-90.4979727294398,NA,-26.1392087880826,152.695065917495,-36.238717623183,120.151487714432,-55.1598528553812,83.2796640892786,19.2447895656079,-14.7689187964057,-73.6338393132454,-33.4254663999728,NA,-65.3157554022777,-101.402681885631,28.8653216217041,-88.7036464488227,504.118779651117,9.72173940732964,257.018904164981,121.745737123717,NA,35.3266147886701,9.50389718257183,-104.373184026513,-63.3742684728052,131.105377442929,5.57436062928217,119.245698697089,NA,80.2748255961102,127.191628268316,113.838647458376,79.689131966599,-9.8989482814951,-7.91179084452437,-58.1881601971998,62.9905528037009,281.644230005945,452.884843280941,-102.999110668502,24.4847438617307,-76.6835311672956,-9.32288049045091,-26.1867757194848,-4.44396541786214,330.696783937497,-15.7114838354682,NA,NA,NA,NA
"10","movements,",96.5291916478299,41.8888994184319,-24.2665656371164,24.255997379639,329.008219780871,234.506577028565,-122.280448601467,49.8267360021518,159.08902990144,103.984420090064,2286.32573941412,80.722987076171,70.6468448918491,0.106226792258316,-18.7509901977823,16.911621700758,-6.45214291117817,47.5153257244371,-7.19025111669914,-47.2313087946077,65.5350425910439,-77.0502624109589,NA,78.5308525447353,-16.4134390003497,-151.048992681603,-89.9602237935384,2.19203616057681,49.8092193670116,482.581841158293,1125.95164962593,NA,329.189617002211,86.0260210564282,-68.083840798351,132.082880422912,-127.310169826583,96.8319043550794,7.67639261953375,-62.2613702151629,-63.5044908175815,-50.9262436182536,NA,146.884231994317,-111.363388293682,601.78369984408,94.6739267394844,-122.566966896364,-87.0580520950194,30.6910634856447,61.6100174562057,71.8949935313571,1395.75888884554,6.70898828380968,45.3055987479675,49.2204237318683,77.8023901431934,-40.4724709698967,63.19958676715,NA,65.9561539530954,176.240894528352,35.6540310497359,-12.5949011386442,12.4852469656933,300.96506074519,-44.4041049090024,79.6439339879769,326.861640322992,-80.5047288667574,-58.7422470308061,48.1816488600564,-89.8264715495587,368.546467686116,-24.9016939264272,-65.8072261156101,-26.6371129680984,98.056805667048,NA,NA,NA,NA
