"","word","A2TG01V56PAL65","A2EAIMII6MSIO5","A3NMC1E54BML7K","A11AUVZ4MCA7VU","A117RW2F1MNBQ8","A21L2ZM379FG7","AER86HM7LU5G","AOVB3KCIIJLRJ","A2BJ35SLVKCUL7","A2U750ON775R3L","A2DGJ8T7C3HMCQ","A1IWL4WQTKN1PR","A1W079WCHEQKX6","ACYV5TUADOWEA","A1E3RC5YPKVB4F","A2OIFE4TAQ7AEI","A2PE5UDQ5WG2R0","AM7UBKT777C3R","A2VCTDV17CKH2X","A3EQVDHHKZRC0K","A15QI1G4FCMV5E","A2XPQ8KYFKI6FD","A7LIT8S8LGRAH","ANL7UI5ES4L18","AY1ZVSTHEQDH8","A2JRWVPVWD1KAS","A1FNEVG87BS5K0","A1JBTEJN14MFFA","A2LFX0LP92GLCQ","A2GNS1SQLQNMR2","A1VXGA62J77RO","A3M0KT6KUJEZD1","A2XKIJJPWTOQ5Z","A2I2OHYPL49ZAI","A2HS4FQ4DR4GIK","A35QV79054LGTU","AWZ83IBW10B96","A2MVFSJBKHUPH9","A1SYR0UUMZM2VH","A23PSX2ZO4F65Q","A1LDS7FXQNGLEN","A11KMPAZSE5Q0Q","A14N0AMVXOBZYH","A26LA7PUZG0N8S","A1RCM1Y87J0FGW","A2MSCP411YP41Q","AOZ06WXWI630","A8L4UTQ8RXDFS","A36TOO4WWGEEPW","AZTDJC8RWO5C5","A2L6GS9A2MMQK4","A3SWH7DHWHP0BO","A3NOO9K3CY1YU5","ANDPWG91K8OEX","A21TTUZSQ5ZE6C","AK9FN3FCOY9Q2","A127R5QI5OGBIK","A3TK9CLBA65ZZE","AK7YVYGMIF6T0","A2AB80GWC0LU0P","A25OW5OQG4B8FR","ARGHS9P7FVR3W","A3OQ1JKWS02NMF","A911XMMVXT7IU","A39GZHNGT87G5N","A5FJBKJ8K5I6S","A2NJGU26SOMOKV","AA8O3Z9L0FSW1","A1U1QL617G5DU3","ACUXGYJAQUZAE","A2TJHKHM8T2SV3","A1RWNYJA5X25YH","A1RE0RBV10VAVC","A38UOBWJF4WFGG","A3S3YW6II31OZV","AJDL05304W8E","AOTSROWZG1XS1","A3EZCOCQU4QNCO","A3QJPB0NZU5PY1","A2RPQGUWVZPX7U","A14SNQOYGXPZ7K","A1WXZPUAXDE0DQ","A1JY8OZHGDL9GR","AEX85SLEN727","A3T8CCUYDNT61C","ARNTOT4L28BBP","A3UDP95JGEX3H1","A1H314LD953G5Q","ACTW5YEWV9OR0","ALE5RDP8XZL3","AKEZ83FQITFD8","AEUGCBFJPU0MX","A37I1ETWW49IZO","A14WWG6NKBDWGP"
"1","A",152.204094592315,161.579518912488,51.6681441354907,26.9917926059687,89.6050060149188,88.3260734544341,980.44285869865,248.113956952699,-96.3700906596583,353.748680428456,180.333976808225,134.299011404632,365.67485725283,207.583745716696,764.451742368472,83.9287447312493,337.553016477299,239.764233530414,104.293159250653,-0.91616358585261,112.09200206308,-51.3600856947399,92.5534982664319,-22.9067220769819,-57.7975503567141,69.4275252833769,22.6517566155179,-45.0515050750587,81.8242574168232,-29.6315640689488,165.67229333074,313.823497074736,197.289330968915,29.8758048813803,-40.899099276201,160.652329812044,2.32001826883362,126.429595391201,19.0750565215604,-107.438608384166,-60.1534025136384,4.51921422241721,97.4951839249357,26.0851769825676,9.8771199089933,102.559281228725,-2.1970044383529,-39.6757782753812,59.2912514083243,-158.837472056146,23.9905192444854,217.656304229843,-79.5932811148982,-29.0457100613629,225.523171614144,121.67914311464,78.5397687293453,-16.5892393720787,565.123527991671,-60.5334159054311,294.051515849068,-29.4381481120038,85.7115932596416,15.446678854357,-45.3914594459474,-71.4554105528431,107.837109232244,-131.018394756611,12.283359676618,1.32416500799309,-28.1571066249156,-60.7877120391189,195.794175353331,62.8230748110438,-18.0949627238866,-3.73606066586951,280.624304877777,19.0360421204137,195.018056858402,167.147720308606,-39.401793868232,-16.151750212017,-7.40548755314938,58.2850001822935,-71.1356025605463,47.5071474320214,91.9465743382463,-15.1337003535034,-125.617442011891,-2.33852652927296,-30.2031944711919,117.76378792349,NA,NA
"2","clear",-67.9076243172587,125.279947106653,110.912071738765,26.5643165182002,17.8875490841411,127.755222057375,219.667830098043,NA,58.3987043261416,192.526967647284,-38.3022599958041,11.8645741982997,171.55330132112,185.518636420227,166.579671450656,33.0345572590699,440.218325399613,105.545931911088,119.188859310194,-49.4379117975772,94.9429692443013,-134.690793641295,21.3853641772636,-16.2671188357231,-98.8784911170971,-50.2198326532139,-27.0803116470901,-48.4981310368592,-19.2731043244513,40.6103498154251,67.9437144443048,-117.312548361252,87.6482337740912,-20.5957830193509,-28.7948719275293,-2.63985611845168,-40.5365133065953,-16.1096469324465,102.863503872439,-26.0797989943498,-30.6386148522478,-10.983383111692,16.1965480668639,12.175237988964,-99.2698698555264,-77.4689387761475,NA,-123.45056404601,-2.32557598180133,-210.382525690674,-23.5832817656899,206.018426026614,-157.708578258626,-28.6468918978757,270.237368440489,-53.2709760550327,98.8150938763207,-96.2751449767401,125.20614823359,-123.760893945241,NA,93.1673788747642,50.7057647348349,-109.674588665448,-40.2273026312398,-127.459246492664,84.2951862982656,-287.238671040465,-80.7136215068508,-8.0565268776285,-114.155421990576,-114.340663818291,183.488302816652,-14.6571881491786,-81.8362524168075,-54.9716192476014,174.688903012004,13.6970286973744,89.4278025870799,84.0144157259083,12.6602413568167,-90.4906974848712,-20.2152402258543,528.889240719892,-142.693667805788,-101.777125398609,-23.5114989468927,-2.71436052501746,-111.838767829477,-152.324385285612,-63.5827861267373,26.3908165455074,313.323387154545,NA
"3","and",19.6482351375388,343.929733009583,926.290107937105,621.278054562043,-41.7537224504619,123.040647755903,NA,1481.91599152287,41.0143068332513,161.137824037868,-63.9841415938108,-62.9182071985258,386.11407928698,160.551191068446,216.515706909566,-26.518349004842,498.88567093847,150.655082720743,104.241009280423,124.822962308295,161.517485653706,-156.025439668033,155.969431221863,-41.086920456351,-71.3380207369126,23.6038463150719,-27.2142775157849,-26.2748180559481,-18.7244234538286,-30.5106071267179,52.8080038875259,-83.244525643255,134.468782371513,-80.859989068985,-30.8469856018708,200.506236846794,-49.6082475188806,15.6599742293998,1.96928019701076,-81.7592036892497,-28.8960086829666,-11.2320844446421,-11.1541340040897,-21.3697925142287,-18.1963749732688,66.045171226295,327.864477546421,-56.5631711606717,92.4828377132677,81.3900011265343,-21.2963812606079,197.337365128233,289.349070313238,-43.8463009796155,342.88027002733,-45.7959164702024,8.67743130283705,-82.9321921744082,45.1648381126103,-67.1471549253343,NA,16.8646153813856,-3.29132100276533,-43.1139549055454,45.1906189614056,-111.457328522761,88.0661477652593,-241.128532898532,-53.7151309151162,-6.86618093481224,-111.156264307765,-46.0641879287163,19.6412390849847,108.582943330933,-69.9656075703583,-35.8538399567564,-12.3433960551104,9.86653540889882,13.2229297227414,66.0810680172586,-0.37077625570776,-65.3212238484443,9.18963611050094,192.587120451095,-123.914635183165,-112.634988983271,-11.2824623043148,-16.9240304392622,207.771895079317,-48.831455907446,-47.8929902990032,84.077302234502,NA,-36.1885906981179
"4","joyous",99.814445955343,440.955054155186,NA,-26.7925525037165,-38.7918151485576,85.1125092081126,560.974072947902,146.119043378172,-27.9090969274139,172.221539451991,34.0386808032014,-26.7440351032856,836.772912338191,62.0023590961197,336.611653721203,20.8110103910261,168.384652630187,16.4913565062627,118.662784325076,80.9316511494871,-2.34428896040202,-140.023470627926,-107.906669345036,-21.3572180254092,-73.1487263071906,52.8683278626379,2.98667128725765,-13.6097875273148,-39.5474447597628,40.1708282864966,115.511569722694,78.1534402797565,156.737959475384,123.536320005465,-30.7688150903569,30.7870973989252,11.9993537995446,-31.4944575133696,26.8106157101542,-8.24009664689993,-28.0099179368875,-18.8590324452171,-26.1281108976595,-29.5522467594394,-28.3066172966554,-48.2259937773668,66.9567005236797,-63.8942604886786,-33.7297828293331,-74.2687890992786,-24.726732018231,182.358956475805,-113.237402544559,-81.0471873570062,26.9159176470653,-62.0085058474474,3.88392516306355,-85.4466213779069,25.2268032940798,-131.067763455193,NA,91.3187606214528,-5.29569239636556,237.045094454601,45.0637365724384,32.5397945223853,139.909705564775,81.7062598885714,-53.7128668027163,-27.1516998490359,-116.155000831982,-100.978901763078,90.4118346824809,-78.7772538892314,-62.7715748400316,-54.5305088930238,204.205052545566,-13.8877246583881,47.0302390192514,17.9810895802339,-38.8242498369211,-86.5754343030826,33.0823216059682,24.0403008542977,-145.083184117103,-103.848193606278,-20.1260172681807,-7.60952556789572,NA,-100.570849974686,-32.4276840406051,41.5475737010113,184.524771371443,107.624146811196
"5","day",127.648235137539,134.929733009583,86.2901079371046,42.2780545620427,-68.7537224504619,93.040647755903,413.055344398331,-37.084008477117,31.0143068332514,177.137824037868,28.0158584061892,-109.918207198526,292.11407928698,63.5511910684461,246.515706909566,-4.51834900484205,216.88567093847,47.6550827207431,104.241009280423,342.822962308295,191.517485653706,-125.025439668033,-55.030568778137,-29.086920456351,-38.3380207369126,76.6038463150719,32.7857224842151,-38.2748180559481,-18.7244234538286,65.4893928732821,44.8080038875259,-37.244525643255,37.4687823715133,-14.8599890689849,-31.8469856018708,38.5062368467942,51.3917524811194,-0.340025770600178,61.9692801970108,-71.7592036892497,-33.8960086829666,-10.2320844446421,-3.1541340040897,-7.36979251422866,3.80362502673123,-27.954828773705,-12.1355224535789,-42.5631711606717,-22.5171622867323,-43.6099988734657,-40.2963812606079,123.337365128233,-150.650929686762,-13.8463009796155,38.8802700273302,-85.7959164702024,-1.32256869716295,-63.9321921744082,235.16483811261,-120.147154925334,NA,6.86461538138564,26.7086789972347,NA,-10.8093810385944,-87.4573285227609,49.0661477652593,14.8714671014684,-65.7151309151162,21.1338190651878,-126.156264307765,-95.0641879287163,219.641239084985,-89.417056669067,-39.9656075703583,-36.8538399567564,3.65660394488959,96.8665354088988,31.2229297227414,37.0810680172586,12.6292237442922,-65.3212238484443,-12.8103638894991,30.5871204510953,-98.9146351831653,-18.6349889832715,-66.2824623043148,4.07596956073777,286.771895079317,-128.831455907446,-30.8929902990032,43.077302234502,153.920618720713,-45.1885906981206
"6","it",85.9261648649375,35.2546259610482,18.9791260362751,283.634923583963,-112.074358217763,45.6833606051664,102.749101548474,-4.48502576221323,-62.6778919131936,181.443252233161,21.6749176071851,-41.3095978969392,657.894468269909,125.067468392555,240.48372463902,-22.2948021367981,254.719343707897,-51.29034187443,88.7670842655392,592.453399361232,-1.19525614159074,-134.692762681403,-123.738535255837,-33.9968212666649,-47.0677855468199,55.5156857992166,-17.2812604501324,-62.1631615654926,-48.4500830185171,57.9289144022106,37.2401486091365,75.2894857157412,-42.6209433297768,-88.9920920938018,-35.8730424390421,336.079283329417,-29.1441146250223,1.04478481032295,-3.97783164070372,-89.5989060366996,-26.5247055983263,-12.3564351111171,23.1705249604336,162.357692234175,63.8403724678601,-42.1977737724843,23.8337365540015,-110.119474718003,-61.1129554391987,-132.723735464861,-39.1529310080669,103.996834679042,-219.12210540083,-31.4460055204853,-23.7982791792482,-97.0583866777874,-26.3913999839051,-64.760715773242,-24.8558169478796,-92.8402854153813,151.621502668857,38.7132336346966,-39.2898638715653,NA,-30.100420242272,-63.4563695378095,129.451628498754,-18.0734638275659,15.2841143807505,43.2289920365956,-124.15668546636,-92.4259499839289,-57.2822927808474,-8.29699092901215,-49.0302851471338,-52.2949503113339,-41.8595455886692,-10.5487112353389,23.6204932905714,44.1143941629336,-27.88628506197,-66.2364870302315,-28.1079257213215,32.4360603166945,-88.5251188718527,-95.5639207756026,85.3320560169739,-10.0288653963844,20.0772265337148,-117.584991218366,-46.0480923851359,-2.07945492100107,182.719234503804,127.873830132107
"7","was",-12.3517648624612,65.9297330095827,-33.7098920628954,12.2780545620427,-39.7537224504619,83.040647755903,147.055344398331,-57.084008477117,-48.9856931667487,225.137824037868,1084.01585840619,33.0817928014742,198.11407928698,15.5511910684461,334.515706909566,-37.518349004842,216.88567093847,145.655082720743,104.241009280423,349.822962308295,127.517485653706,-155.025439668033,-136.030568778137,-54.086920456351,2216.66197926309,175.603846315072,-47.2142775157849,-81.2748180559481,-38.7244234538286,41.4893928732821,-43.1919961124741,-105.244525643255,-40.5312176284867,-144.859989068985,-37.8469856018708,-50.4937631532058,-14.6082475188806,-30.3400257706002,-0.030719802989243,-91.7592036892497,-36.8960086829666,-11.2320844446421,-19.1541340040897,324.630207485771,-59.1963749732688,-90.954828773705,19.8644775464211,-88.5631711606717,-44.5171622867323,-169.609998873466,-23.2963812606079,127.337365128233,-175.650929686762,-43.8463009796155,-1.11972997266979,-85.7959164702024,-51.322568697163,-79.9321921744082,25.1648381126103,-109.147154925334,287.191489488654,16.8646153813856,-11.2913210027653,NA,-46.8093810385944,-23.4573285227608,47.0661477652593,-65.1285328985316,7.28486908488383,25.1338190651878,-126.156264307765,-95.0641879287163,-40.3587609150153,-1.41705666906696,-49.9656075703583,-52.8538399567564,-28.3433960551104,-39.1334645911012,51.2229297227414,12.0810680172586,-31.3707762557078,-76.3212238484443,-12.8103638894991,13.5871204510953,78.0853648168347,-3.63498898327148,-126.282462304315,-21.9240304392622,-72.2281049206827,500.168544092554,-46.8929902990032,12.077302234502,103.920618720713,NA
"8","and",737.648235137539,38.9297330095827,2196.2901079371,669.278054562043,-73.7537224504619,93.040647755903,22.0553443983313,87.915991522883,51.0143068332513,129.137824037868,23.0158584061892,122.081792801474,433.11407928698,8.55119106844612,358.515706909566,-46.518349004842,326.88567093847,519.655082720743,136.241009280423,500.822962308295,-16.4825143462936,-187.025439668033,-134.030568778137,-56.086920456351,73.6619792630874,46.6038463150719,82.7857224842151,-39.2748180559481,-38.7244234538286,41.4893928732821,-11.1919961124741,-123.244525643255,-61.5312176284867,-118.859989068985,-63.8469856018708,-51.4937631532058,-18.6082475188806,-15.3400257706002,-5.03071980298924,-91.7592036892497,-24.8960086829666,-11.2320844446421,-27.1541340040897,8.63020748577134,-97.1963749732688,-80.954828773705,18.8644775464211,-149.563171160672,-20.5171622867323,956.390001126534,-39.2963812606079,59.3373651282327,-261.650929686762,-33.8463009796155,-49.1197299726698,-55.7959164702024,-51.322568697163,-54.9321921744082,15.1648381126103,-99.1471549253343,NA,46.8646153813856,-22.2913210027653,NA,-31.8093810385944,-71.4573285227609,97.0661477652593,-97.1285328985316,-4.71513091511617,3.13381906518776,-157.156264307765,-64.0641879287163,-0.358760915015312,165.582943330933,-49.9656075703583,-53.8538399567564,-60.3433960551104,-64.1334645911012,16.2229297227414,22.0810680172586,-46.3707762557078,-59.3212238484443,-7.81036388949906,103.587120451095,-111.914635183165,-65.6349889832715,-43.2824623043148,38.0759695607378,-105.228104920683,-75.831455907446,0.107009700996763,-20.922697765498,NA,NA
"9","out",190.648235137539,9.92973300958272,46.2901079371046,10.2780545620427,-103.753722450462,573.040647755903,101.055344398331,340.915991522883,11.0143068332514,268.137824037868,184.015858406189,128.081792801474,323.11407928698,-23.4488089315539,14.5157069095656,6.48165099515795,373.88567093847,17.6550827207431,72.2410092804233,107.822962308295,-32.4825143462936,-172.025439668033,-127.030568778137,-44.086920456351,57.6619792630874,-21.3961536849281,2.78572248421514,-73.2748180559481,-48.7244234538286,353.489392873282,-43.1919961124741,-100.244525643255,-54.5312176284867,104.140010931015,-54.8469856018708,-15.4937631532058,13.3917524811194,-46.3400257706002,23.9692801970108,-81.7592036892497,-49.8960086829666,-19.2320844446421,-27.1541340040897,-1.36979251422866,-81.1963749732688,-84.954828773705,-42.1355224535789,-178.563171160672,-62.5171622867323,-12.6099988734657,-23.2963812606079,89.3373651282327,-198.650929686762,-53.8463009796155,-25.1197299726698,-85.7959164702024,-31.322568697163,-54.9321921744082,15.1648381126103,-29.1471549253343,NA,-23.1353846186144,-47.2913210027653,NA,-29.8093810385944,-80.4573285227609,176.066147765259,-273.128532898532,-44.7151309151162,51.1338190651878,-126.156264307765,-127.064187928716,-60.3587609150153,17.582943330933,-59.9656075703583,-35.8538399567564,-44.3433960551104,-100.133464591101,41.2229297227414,22.0810680172586,-40.3707762557078,-68.3212238484443,-7.81036388949906,29.5871204510953,-63.9146351831653,-19.6349889832715,27.7175376956852,815.075969560738,79.7718950793173,-124.831455907446,2.10700970099676,-19.922697765498,277.920618720713,NA
"10","on",-8.07383513506254,66.2546259610482,-51.0208739637249,4.63492358396247,-58.0743582177633,205.683360605166,24.7491015484744,623.514974237787,-42.6778919131936,122.443252233161,4.6749176071851,95.6904021030608,78.8944682699092,-18.9325316074451,31.4837246390199,-34.2948021367981,253.719343707897,NA,104.767084265539,1.45339936123159,15.8047438584093,131.307237318597,-132.738535255837,-60.9968212666649,191.93221445318,43.5156857992166,-37.2812604501324,-66.1631615654926,-48.4500830185171,265.928914402211,-50.7598513908635,-162.710514284259,-75.6209433297768,-32.9920920938018,-19.8730424390421,-33.9207166705829,4.85588537497772,0.0447848103229542,16.0221683592963,-89.5989060366996,23.4752944016737,-27.3564351111171,39.1705249604336,-0.642307765825086,-40.1596275321399,-88.1977737724843,-38.1662634459985,-191.119474718003,7.8870445608013,101.276264535139,-55.1529310080669,76.9968346790419,-75.1221054008297,-71.4460055204853,56.2017208207518,62.9416133222126,-46.3913999839051,-65.760715773242,-4.85581694787958,107.159714584619,NA,-1.2867663653034,-23.2898638715652,NA,-32.100420242272,-55.4563695378095,-14.5483715012459,-34.0734638275659,-83.7158856192494,-34.7710079634044,-155.15668546636,-60.4259499839289,122.717707219153,-50.2969909290121,-49.0302851471338,170.705049688666,166.140454411331,-73.5487112353389,44.6204932905714,18.1143941629336,-21.88628506197,10.7635129697685,-8.10792572132149,-23.5639396833055,97.4748811281473,-47.5639207756026,-89.6679439830261,-16.0288653963844,-87.9227734662852,-93.5849912183659,-31.0480923851359,-26.0794549210011,126.719234503803,-68.1261698678926
