"","word","A23PSX2ZO4F65Q","A3OQ1JKWS02NMF","ANL7UI5ES4L18","A14SNQOYGXPZ7K","A1JY8OZHGDL9GR","A1JBTEJN14MFFA","A2GNS1SQLQNMR2","A3M0KT6KUJEZD1","AA8O3Z9L0FSW1","ACUXGYJAQUZAE","A1H314LD953G5Q","AOZ06WXWI630","A8L4UTQ8RXDFS","A2L6GS9A2MMQK4","A3SWH7DHWHP0BO","A2HS4FQ4DR4GIK","AK9FN3FCOY9Q2","A127R5QI5OGBIK","AEUGCBFJPU0MX","A2AB80GWC0LU0P","A2RPQGUWVZPX7U","A11KMPAZSE5Q0Q","A11AUVZ4MCA7VU","AEX85SLEN727","A3T8CCUYDNT61C","A1U1QL617G5DU3","A14WWG6NKBDWGP","ACTW5YEWV9OR0","A3WJJI7FNF5T5","A38UOBWJF4WFGG","A3S3YW6II31OZV","ALE5RDP8XZL3","A2OIFE4TAQ7AEI","A2VCTDV17CKH2X","A25OW5OQG4B8FR","ARGHS9P7FVR3W","A37I1ETWW49IZO","A3QJPB0NZU5PY1","A1WXZPUAXDE0DQ","A5E076UK5CA9J","A911XMMVXT7IU","A39GZHNGT87G5N","A5FJBKJ8K5I6S","A21L2ZM379FG7","A2LFX0LP92GLCQ","A2BJ35SLVKCUL7","A2TJHKHM8T2SV3","A2U750ON775R3L","A1W079WCHEQKX6","A1RE0RBV10VAVC","AJDL05304W8E","AM7UBKT777C3R","A3EQVDHHKZRC0K","A2MVFSJBKHUPH9","A15QI1G4FCMV5E","A2XPQ8KYFKI6FD","A1LDS7FXQNGLEN","A2JRWVPVWD1KAS","A117RW2F1MNBQ8","A26LA7PUZG0N8S","ARNTOT4L28BBP","AOVB3KCIIJLRJ","A1RCM1Y87J0FGW","A1GAARR4GOOZCO","A3UDP95JGEX3H1","A2XKIJJPWTOQ5Z","A11GA4B4SEYK44","A2DGJ8T7C3HMCQ","A1IWL4WQTKN1PR","A3NOO9K3CY1YU5","ANDPWG91K8OEX","A2PE5UDQ5WG2R0","A21TTUZSQ5ZE6C","A35QV79054LGTU","AWZ83IBW10B96","AK7YVYGMIF6T0","A2TG01V56PAL65","A1SYR0UUMZM2VH","A7LIT8S8LGRAH","A3NMC1E54BML7K","A14N0AMVXOBZYH","AY1ZVSTHEQDH8","AER86HM7LU5G","A1VXGA62J77RO","A2NJGU26SOMOKV","A2MSCP411YP41Q","A1RWNYJA5X25YH","A36TOO4WWGEEPW","AZTDJC8RWO5C5","A2I2OHYPL49ZAI","AOTSROWZG1XS1","A2EAIMII6MSIO5","ANC446SIU64J6"
"1","Once",10.0938324360344,88.3664737235545,12.7492472250624,-5.48410630536713,32.274580681401,174.631527750786,62.2478070218,-79.9589561351159,162.49476166951,101.482992161955,-90.6566285326437,109.137075371459,84.7531572039742,74.5198082353706,659.774368203544,75.1417706435716,164.939423241433,346.872223411306,-54.63324637676,-19.8338234036639,20.2884100402947,-15.7110901355714,-62.0376240544235,-71.830524354484,-92.6190359822886,-112.348723430012,17.2516076073221,-188.711010612438,128.10794044665,387.33914324863,-76.8133503017417,-251.855106760536,17.0969186705582,78.4282509140088,5.11538171508909,18.5825527203679,257.321600481348,25.8883336562688,-55.260835556115,10.1270525086463,9.08067940552005,73.6209084110852,-75.9718013590055,-19.6628109722784,123.276609358607,-119.677183057635,10.7257418126605,156.246009577385,-66.573981524611,326.570730552595,-41.4646583591566,-180.422557119097,-103.309620458488,-40.1962230513826,8.22159398905029,-108.167928379603,-74.3142287207791,92.5871008693503,496.156083532139,178.190887050204,-41.5690456263828,-134.303704461618,-126.911703966794,-66.3125975149038,40.9794708133737,61.71828809192,-29.4098461502701,23.2812221851879,47.4798250733628,-117.550546074097,0.37096227959237,-21.4263307335991,-138.835010622199,-202.470879542614,-45.5438720604154,141.72072136154,154.893251028953,-70.9301245907587,165.255758069759,200.153899685309,39.3550212137236,-29.1204000191118,42.9167785633338,-117.027223111892,-75.9224487981325,-80.0428983980001,-67.640824479105,-60.1192615160858,-52.7791565660795,-3.54519374598531,135.181104483391,NA,NA
"2","upon",-39.9061675639816,59.3664737235502,-21.2507527749371,-70.4841063053674,-16.7254193186075,56.6315277508105,-9.75219297824086,-145.958956135119,114.49476166948,-3.51700783805958,1.34337146734904,-14.8629246285144,24.7531572039878,57.5198082353251,485.774368203524,108.141770643579,114.939423241436,146.872223411302,-38.6332463767569,-54.8338234036716,-18.7115899596874,-24.7110901355859,-106.037624054244,-79.8305243545135,-115.619035982292,-123.348723430023,22.2516076073229,71.2889893875594,99.1079404466501,-62.6608567513363,-116.813350301722,75.1448932394945,-33.9030813294424,-1.57174908600992,-24.8846182849222,-1.4174472795954,45.3216004813477,-88.1116663437066,-101.260835556117,-123.872947491354,0.0806794055201976,24.6209084110786,-91.9718013590524,-109.662810972292,-146.723390641394,-79.6771830576278,11.7257418127369,84.2460095773983,-97.5739815246114,106.570730552602,-24.4646583591336,-153.42255711912,-36.3096204584986,-41.1962230513652,24.2215939888922,-139.16792837953,92.6857712791872,-114.412899130663,69.1560835321412,216.190887050223,-72.5690456262775,-168.303704461622,-33.9117039667959,-79.3125975149158,41.9794708133708,17.7182880919283,-29.4098461502973,-72.7187778147302,-32.5201749266637,-109.550546074114,-59.6290377203761,-68.4263307336079,-160.835010622168,-248.47087954261,-55.5438720604098,291.720721361521,61.8932510289649,-64.9301245907697,1268.25575806976,60.1538996853033,-23.644978786312,-94.1204000192733,214.916778563291,-69.0272231118669,-163.922448798134,-32.0428983979974,-99.640824479076,-75.1192615160843,-84.7791565660544,-90.5451937459797,6.18110448336257,-28.4573265419185,NA
"3","a",100.350184348148,139.190024506634,-0.626890844504177,-43.8087545596665,-51.7923399368972,42.413475642226,80.8251471116896,-140.221798926927,504.832763895167,127.970017502473,-164.090298270032,44.2868360644288,483.535092115899,98.2003753287275,501.320649281468,454.623056005525,49.4497792123158,224.523476382055,-41.4356154468716,-82.4435320135007,-30.7412792709488,-2.29971735908328,-61.9918502505649,-73.6082633019419,-78.5514508370213,-145.718580047791,-30.2768994277014,-9.13025644085655,106.693548387097,-5.86271643587676,-43.8841186659311,336.682549458556,-8.93672574189103,5.76161439291897,28.0562629540098,-16.8693176539807,-60.078219013237,-28.5212136692914,-65.917009535133,-126.101822991191,94.8768577494692,-9.95263205448848,-57.6363614712716,-91.1540025337237,-133.866660457004,-56.3816783418825,35.9839897988099,49.9776071594036,-71.9331955644551,27.2851063072261,-40.2520209541354,-126.253929252887,-24.9702921232606,-43.5993842110512,17.210191027513,-20.9999682123491,423.086503850135,-7.40875468820147,16.7472874930556,127.445231864537,-39.5305716777609,-159.919103607505,-55.1285828641387,-28.3740725734978,-32.9689141861671,142.26090586617,-3.99535307766696,-56.4893561496626,-39.8839961041521,-149.76917534953,-67.7275936432055,-69.3564815170815,-126.044085214885,-182.824180856892,-89.7330968140059,29.510198814648,131.651956138513,-62.6946447211847,85.8551473712137,111.716078524289,-93.3177398627022,-29.6694376610555,182.762231738446,-56.7863778228047,46.5354082111446,-43.0288848603125,-10.9015272029267,-87.1063951487371,-113.655035103031,-44.1948214771761,-13.1543967673658,136.673442188665,NA
"4","time",-9.90616756398195,129.36647372355,-22.2507527749398,-93.4841063053674,193.274580681392,270.631527750811,110.24780702176,-170.958956135131,66.4947616694775,114.482992161936,-113.656628532651,15.137075371486,210.753157203988,105.519808235325,517.774368203524,84.1417706435811,124.939423241436,186.872223411302,-38.6332463767559,-70.8338234036726,-44.7115899596872,-16.7110901355869,-13.0376240542398,144.169475645488,-110.619035982297,-118.348723430024,-30.7483923926772,-195.711010612433,254.10794044665,-17.6608567513417,-66.8133503017207,-91.8551067605054,19.0969186705556,-33.5717490860112,-24.8846182849214,-1.41744727959616,272.321600481348,-78.1116663437052,-120.260835556112,-130.872947491357,17.0806794055202,-25.3790915889216,-59.9718013590524,-109.662810972292,-136.723390641389,-159.677183057626,-4.27425818726465,-34.7539904226013,-66.5739815246127,36.5707305526013,-8.46465835913373,-154.422557119124,-49.3096204585005,-25.1962230513654,8.22159398889275,-108.167928379533,-30.3142287208131,-98.4128991306615,57.1560835321416,159.190887050221,-119.569045626276,-151.303704461622,-55.9117039667965,-33.3125975149158,6.97947081337105,11.7182880919263,-45.4098461502971,-72.7187778147305,-31.520174926663,-181.550546074107,230.370962279624,-99.4263307336072,-165.835010622169,19.5291204573893,-74.5438720604095,11.7207213615208,-1.10674897103518,-68.930124590769,-75.7442419302438,60.1538996853031,-7.64497878631177,-77.1204000192666,433.916778563292,-69.0272231118664,-43.922448798134,-67.0428983979987,-166.640824479078,-103.119261516078,-84.7791565660546,-108.54519374598,7.18110448335574,667.542673458084,NA
"5","the",6.84594974006138,137.974323984578,-2.70946546479459,-48.2589890568004,52.2522738086291,136.558843714616,68.440253718403,-61.0465703990632,-86.0592375886259,184.312000608782,-59.801185111778,614.5203289358,203.013802174625,-13.9200027335409,444.956461896172,250.302199097562,99.7762085650627,169.42264106822,-76.9007027334611,-80.370392940282,12.6118469365589,-27.9072992100857,-61.0223661196815,-59.0897706703223,-123.596507600539,-113.805342302613,-61.9245614043519,110.149240778093,77.636476426799,-15.0614766461867,-62.5036064231242,-32.342554687485,15.0857038664067,-15.1272945930345,-7.5709912052777,-73.234737404391,119.854993983153,-45.2481821189006,-68.8128935491188,1000.05076067537,26.6794055201699,-31.9036050774439,-69.8599880631255,-93.4932081594362,-145.771147246594,-1.91201481904499,-48.1881755252398,2.48987543806701,-79.3603862045602,46.8088558041429,-41.7271125574676,-278.366347830378,-62.8631776800872,4.66938989540596,27.5511263350995,-121.111941657138,-186.180651197164,-99.4115176498415,36.6864848524463,56.2756686549932,-72.2228876434375,-168.842170843583,-67.3173302659106,11.3335774655569,-41.6699908531417,27.5658273500075,-42.2716817927537,-67.3089705930412,-46.6414486524927,-203.956755832581,NA,-79.7363809947653,-187.238035486408,-207.588646647371,-59.606946978275,74.3172138458965,1.47948606548084,-71.8516313009076,-35.877778829758,67.3412926316316,4.46410085489143,-82.9700792331962,328.86526295501,-62.2802746821791,-31.1031631283744,-61.3715605521033,-113.727725387027,-143.781639393631,-95.0711160783801,-85.4284029897123,0.0692707331152146,304.919596368278,NA
"6","birds",33.3417151319747,197.758623462522,-3.792040085085,-99.7092235539343,-7.70311244584462,127.704211787006,128.055360325116,-47.8713418711989,-20.9512390724191,194.65398371509,-154.512071953524,-10.2461781928283,433.492512233351,-28.0403807958094,468.592274510877,157.9813421896,10.1026379178097,154.321805754384,-64.3657900200506,-28.2972538670632,-23.0350268559334,-21.5148810610881,127.947118011202,-84.5712780387027,-101.641564364056,-58.8921045574346,-36.5722233810025,53.428737997042,-6.42059553349875,-15.2602368564966,-81.1230941803173,-133.367658833526,85.1081334747044,-52.0162035789879,-12.1982453645652,-29.6001571548013,38.7882069795427,-96.9751505685099,-148.708777563105,-57.796655658079,292.481953290871,-40.8545781003993,-90.0836146549794,4.16758621485129,-167.675634036184,-37.4423512962075,7.63965915071049,-2.99785628326957,-68.7875768446652,-13.6673946989403,-39.2022041607998,NA,228.243936763086,-39.0618359981368,129.892061642686,-111.223915101928,-90.4478062444625,-162.414280611481,44.6256822118369,58.1061054454493,-87.9152036091142,-121.765238079661,-55.5060776676824,-90.9587724953884,-32.3710675201162,165.870748833845,-32.5480105078405,-78.1285850364198,-35.3989012008333,-41.1443363156329,NA,-88.1162804724491,-224.431985757931,-157.35311243785,-47.480797142544,29.1242288771451,183.307015992449,-82.0086178806305,-66.6107050307296,32.9665067389745,7.24594157248504,-119.270720805337,-197.031705828426,-99.7741715415536,-8.74173446789347,84.2857637561059,-117.553923571128,-128.456883638525,-121.487197053729,-63.6619845022486,-33.7070617664037,75.1657505478892,NA
"7","took",30.0938324360181,166.36647372355,-14.2507527749398,-61.4841063053674,88.2745806813923,85.6315277508108,174.24780702176,-56.9589561351311,-61.5052383305225,282.482992161936,-72.656628532651,-45.862924628514,167.753157203988,90.5198082353249,161.774368203524,140.141770643581,24.9394232414362,36.872223411302,433.366753623244,21.1661765963274,26.2884100403128,-32.7110901355869,-14.0376240542398,-103.830524354512,-17.6190359822975,-93.3487234300237,-27.7483923926772,-128.711010612433,-50.8920595533499,-73.6608567513417,-66.8133503017207,-39.8551067605054,24.0969186705556,-17.5717490860112,-8.88461828492144,-1.41744727959616,199.321600481348,-40.1116663437052,233.739164443888,-132.872947491357,NA,-31.3790915889216,-83.9718013590524,-89.6628109722925,-146.723390641389,-19.6771830576262,-51.2742581872647,5.24600957739872,-66.5739815246127,-13.4292694473987,-25.4646583591337,-154.422557119124,14.6903795414994,-10.1962230513654,43.2215939888927,-123.167928379533,-128.314228720813,-145.412899130661,23.1560835321416,37.1908870502213,-40.5690456262759,-164.303704461622,-71.9117039667965,-8.31259751491577,-44.020529186629,50.7182880919263,-61.4098461502971,-72.7187778147305,-47.520174926663,-39.5505460741072,30.370962279624,-99.4263307336072,-173.835010622169,-205.470879542611,-10.5438720604095,41.7207213615208,-79.1067489710352,-58.930124590769,-70.7442419302438,110.153899685303,-36.6449787863118,-61.1204000192666,730.916778563292,-45.0272231118664,124.077551201866,-90.0428983979987,-67.6408244790776,-100.119261516078,-115.779156566055,-92.5451937459804,7.18110448335574,468.542673458083,NA
"8","it",83.5980670441047,211.582174245606,1.83182184535062,-54.0338718082334,219.229966935866,389.486159678421,162.632700415046,-23.1341846629953,-14.6132368467293,237.141009055627,-30.945741690905,3.90358250011452,348.274447145262,57.6401862975933,306.13855558882,104.462627551544,274.612993888689,111.973058725138,84.8318409098337,3.09303752310868,4.93528383280503,-15.1035082845845,47.9928918148768,-41.3490169861321,-22.57397921878,-94.2619611752018,-39.1007304160267,-109.990507831382,-22.8349875930521,-107.462096541032,-68.1938625445276,-36.8300026144646,-56.9255109377422,19.3171598999423,-5.25736412563397,-55.0520275291859,152.388387484958,-6.38469789409601,112.635048457874,-230.025531157913,NA,7.57188143403381,-63.7481747671985,-47.32360534658,-124.818903851799,175.853153419536,-60.1020928632149,-14.2662587012647,-76.1467908845076,-2.95301894431553,-24.9895667558015,-316.310138541632,401.583265098326,-11.4649971578226,30.8806586813062,-102.055954934744,-105.047073673514,-83.4101361690215,38.2168861727509,49.3604502597652,-40.8767296605992,-231.380637225544,-94.7229565650246,-15.0202475539705,-16.3194525196544,46.4133666080888,-23.1335174352104,-62.8991633713519,-26.7627223783224,-78.3629655910558,51.6385916644043,-75.0464312559234,-144.641060350647,-180.706413752132,-68.6700218961404,46.9137063302722,4.06572110199686,-68.7731380110461,-59.0113157292721,-5.47131442203986,23.5731804960946,71.1802415528741,-10.186252653272,-55.5333262524919,-40.2838774586149,-55.7002227062079,241.185373705023,-91.4440172711842,-104.363075590706,-74.3116122334442,23.9574369828747,48.2965192784722,NA
"9","into",230.093832436018,74.3664737235502,-4.25075277493979,-50.4841063053674,245.274580681392,350.631527750811,102.24780702176,-41.9589561351311,-141.505238330522,169.482992161936,176.343371467349,-44.862924628514,424.753157203988,-70.4801917646751,326.774368203524,149.141770643581,144.939423241436,76.8722234113021,1.36675362324414,-48.8338234036726,-25.7115899596872,-16.7110901355869,173.96237594576,-101.830524354512,-109.619035982297,-109.348723430024,-29.7483923926772,-88.7110106124326,-6.89205955334987,105.339143248658,113.186649698279,-100.855106760505,284.096918670556,-33.5717490860112,6.11538171507857,-111.417447279596,NA,-55.1116663437052,51.7391644438882,-178.872947491357,NA,-14.3790915889216,-83.9718013590524,-99.6628109722925,-166.723390641389,-59.6771830576262,-83.2742581872646,-67.7539904226013,-66.5739815246127,26.5707305526013,-24.4646583591337,-150.422557119124,-50.3096204585005,-25.1962230513654,40.2215939888927,-77.1679283795329,-35.3142287208131,-151.412899130661,57.1560835321416,16.1908870502213,-87.5690456262759,-226.303704461622,NA,-40.3125975149158,16.979470813371,34.7182880919263,-29.4098461502971,-72.7187778147305,-73.520174926663,-142.550546074107,-59.629037720376,-83.4263307336072,-189.835010622169,-264.470879542611,-79.5438720604095,-18.2792786384792,795.893251028965,-78.930124590769,-64.7442419302438,50.1538996853031,-66.6449787863118,-45.1204000192666,-97.0832214367082,-37.0272231118664,-11.922448798134,-48.0428983979987,-68.6408244790776,-130.119261516078,-115.779156566055,-66.5451937459804,56.1811044833557,65.5426734580835,NA
"10","their",-6.65828486802527,51.7586234625224,-29.792040085085,-71.7092235539343,39.2968875541554,377.704211787006,152.055360325116,3.12865812880108,-196.951239072419,102.65398371509,-90.512071953524,-25.2461781928283,621.492512233351,82.9596192041906,354.592274510877,93.9813421895998,90.1026379178097,24.3218057543843,103.634209979949,-32.2972538670632,-24.0350268559334,-13.5148810610881,-29.0528819887981,-67.5712780387027,-106.641564364056,-80.8921045574346,-29.5722233810025,-272.571262002958,232.579404466501,-51.2602368564966,-31.1230941803173,-20.3676588335258,194.108133474704,11.9837964210121,2.80175463543483,-19.6001571548013,1464.78820697954,-43.9751505685099,13.2912224368953,-228.796655658079,NA,-4.8545781003993,-74.0836146549794,-115.832413785149,-187.675634036184,-47.4423512962075,-54.3603408492895,-76.9978562832696,-84.7875768446652,-33.6673946989403,-8.20220416079983,-238.478766407869,-32.7560632369139,-8.06183599813683,37.892061642686,-95.2239151019276,NA,-162.414280611481,-0.374317788163062,-20.8938945545507,-41.9152036091142,-294.765238079661,416.493922332318,-16.9587724953884,-43.3710675201162,194.870748833845,399.451989492159,-78.1285850364198,-18.3989012008333,-139.144336315633,99.7371475872338,-88.1162804724491,-192.431985757931,-219.35311243785,-83.4807971425441,239.124228877145,184.307015992449,-41.0086178806305,-100.61070503073,-17.0334932610255,2.24594157248504,-39.2707208053369,-72.0317058284263,212.225828458446,-65.7417344678935,-23.7142362438941,-5.55392357112782,-83.4568836385253,-121.487197053729,-1.66198450224855,-2.70706176640373,125.165750547889,NA
