"","word","A2MVFSJBKHUPH9","A2XPQ8KYFKI6FD","A1LDS7FXQNGLEN","ANC446SIU64J6","A1WXZPUAXDE0DQ","A14N0AMVXOBZYH","A911XMMVXT7IU","AY1ZVSTHEQDH8","A12QOWM20FCN2Q","A2LFX0LP92GLCQ","A3T8CCUYDNT61C","ARNTOT4L28BBP","A1RCM1Y87J0FGW","A2TJHKHM8T2SV3","A1RWNYJA5X25YH","A2I2OHYPL49ZAI","A38UOBWJF4WFGG","AJDL05304W8E","AOTSROWZG1XS1","AWZ83IBW10B96","A23PSX2ZO4F65Q","A3NMC1E54BML7K","A5E076UK5CA9J","A117RW2F1MNBQ8","A21L2ZM379FG7","AER86HM7LU5G","AOVB3KCIIJLRJ","A2MSCP411YP41Q","A1GAARR4GOOZCO","A2U750ON775R3L","AZTDJC8RWO5C5","A1IWL4WQTKN1PR","A2L6GS9A2MMQK4","A1RE0RBV10VAVC","A3NOO9K3CY1YU5","ANDPWG91K8OEX","AKEZ83FQITFD8","AM7UBKT777C3R","A2AB80GWC0LU0P","A2EAIMII6MSIO5","A2RPQGUWVZPX7U","A14SNQOYGXPZ7K","A1JY8OZHGDL9GR","A1JBTEJN14MFFA","A3M0KT6KUJEZD1","A2NJGU26SOMOKV","A3UDP95JGEX3H1","AA8O3Z9L0FSW1","ACUXGYJAQUZAE","A14WWG6NKBDWGP","A2XKIJJPWTOQ5Z","A11GA4B4SEYK44","A3S3YW6II31OZV","ACYV5TUADOWEA","A2OIFE4TAQ7AEI","A2PE5UDQ5WG2R0","AEUGCBFJPU0MX","A2TG01V56PAL65","A1SYR0UUMZM2VH","A3QJPB0NZU5PY1","A7LIT8S8LGRAH","ANL7UI5ES4L18","AEX85SLEN727","A1FNEVG87BS5K0","A2GNS1SQLQNMR2","A1VXGA62J77RO","A2BJ35SLVKCUL7","A1H314LD953G5Q","AOZ06WXWI630","ACTW5YEWV9OR0","A8L4UTQ8RXDFS","A36TOO4WWGEEPW","A1W079WCHEQKX6","ALE5RDP8XZL3","AK9FN3FCOY9Q2","A3EQVDHHKZRC0K","ARGHS9P7FVR3W","A15QI1G4FCMV5E","A37I1ETWW49IZO","A3OQ1JKWS02NMF","A11KMPAZSE5Q0Q","A11AUVZ4MCA7VU","A39GZHNGT87G5N","A5FJBKJ8K5I6S","A26LA7PUZG0N8S","A1U1QL617G5DU3","A2DGJ8T7C3HMCQ","A3SWH7DHWHP0BO","A2HS4FQ4DR4GIK","A21TTUZSQ5ZE6C","A35QV79054LGTU","A127R5QI5OGBIK","A2VCTDV17CKH2X","A3TK9CLBA65ZZE","AK7YVYGMIF6T0","A25OW5OQG4B8FR","A2JRWVPVWD1KAS","A3EZCOCQU4QNCO"
"1","At",245.457631096748,745.312561860055,-20.2886569550735,-65.5202252057135,414.452670464715,217.448059906188,1.32102834541895,327.915473171205,-21.6539510383003,172.306061539609,-115.613314553742,91.7469879234022,27.9159965455694,112.59368340029,152.016534250199,-134.980963581566,308.185661979116,76.7666124658293,259.074284730838,165.759292945011,-31.506406874965,111.225372260986,-70.6005702620835,81.4883680070704,-11.219399742466,-108.010984518501,134.26009704205,-16.6126576080726,0.579013869170479,186.659954590875,300.241729103375,63.9439970800151,77.6682579212878,497.1268124599,220.576635108352,-67.3857190867757,251.258103689248,19.6731194532493,-48.5099168725169,-8.53750584705114,90.1515572558292,28.2984014209596,-24.5216962847949,10.1727765773046,33.159434127533,-2.61179653522081,42.8437524088285,-125.109913006377,-17.6958950030885,-17.1404302411062,275.274839070619,325.899478378679,-11.7323669525542,-3.42535439335474,-65.4509502683109,-67.6459675369289,117.492030123583,405.390376652767,-24.8470418792893,108.345953226514,422.191610632869,-99.7034536438626,-77.8102427539328,538.475233447077,-42.2624324644067,-44.1453614228113,-68.5536388519992,-37.6248397371793,26.5528765020571,-31.9179454140682,-46.6999542139325,25.4209892612734,-11.9119456759207,-93.8656057980312,152.703091204857,35.0866212821148,-142.950389515318,-18.160876748534,82.0913304084532,-45.0934479916527,-5.50732324660293,-18.3659878740558,23.6166109832275,-30.9646128773181,286.337900423527,18.1392657683861,51.9582886849982,341.680683830926,-32.3028933691435,-132.627846706157,50.7944657685676,-5.46461162503024,-7.05886823712241,137.5015399941,475.581019089975,-15.2156009772497,NA,NA
"2","ten",196.838593402579,657.652777981024,-63.9103295909171,-60.1326764833261,657.112035260807,-28.7250076195202,-50.6615029663811,137.503322939526,-21.7264810542421,207.672416827739,195.915040783308,86.7364524955193,686.859123269306,156.953676544304,85.9847788821299,62.6352554137252,209.678017349122,74.1775552672666,221.561679847395,214.21384725925,-68.3242042537268,63.4841368750223,-96.0247233706774,51.3241258539688,83.9960254361066,-124.900275902564,-9.91959785811524,452.882873487543,47.5645061560389,78.9500310986877,70.2251789790555,75.7187547837505,8.40599951136511,432.234950962223,27.5413933553626,30.8236804405956,NA,-4.56208707336172,-70.4336315405472,-57.2764883915873,52.89676201299,-0.0461811722913354,-64.9210885367983,59.8666022426739,27.2793613764583,-109.720628821671,-4.00075235758238,-205.788405031453,-12.3662785517782,387.957239252952,170.238835157654,343.09556881636,-28.0173656171245,-44.3014178955273,42.0850049164895,-88.4456903839553,251.764923690412,167.788226414002,-64.4590053997164,65.5297759083197,-37.1433860992408,-139.265452125875,-34.5038095096388,-32.0570919486803,104.84342535143,-58.1437669542991,-79.6141554903601,15.8739158556449,19.5361703242682,172.24254910768,-20.572414430337,22.2991615930837,-105.121635678064,-61.8462933838227,-104.505457785081,904.765472602882,26.4249880819494,-45.8269051221117,190.436569239325,-60.9087188030522,-36.3930915404674,343.766795704384,-12.2895682636479,-48.1547510257533,1196.94775043404,143.220258429046,246.431684252481,138.204208734942,-31.6867204371349,-80.0190937830533,-85.6355322454355,-30.8566412590605,53.952676086728,93.0924865296486,514.73571632481,294.159392326218,2607.24035324056,36.9304766381221
"3","years",240.6005180143,891.333210223161,-3.15367486265319,23.6424209614552,1429.43076485301,-50.0711426710302,-49.6265655899802,90.679022476099,-26.8715410861451,128.405127403988,174.971751457417,16.7153816397773,105.74537671677,88.6736628322505,113.921268146072,-78.1323065957672,74.662728089097,151.999440870188,100.536470080442,288.122955887673,-81.9597990112516,18.0016661030666,-148.873029587833,25.9956415476737,54.4268757932694,448.321141329317,-85.2789876584804,41.873935678759,-33.4645092702497,-95.4698158856599,-14.8079212695804,4.26827019127643,-28.118517308551,113.451227966866,98.4709098493479,-2.75752050468529,NA,-143.032500126532,-58.2810608766566,-34.7544534806712,-25.6128284726982,-66.7353463587922,218.280126959188,-14.7457464266112,-62.4807841256961,98.0617066054939,93.3102381096347,-31.1453890816645,-19.7070456494381,402.152578241074,292.166827331723,-54.5122503083436,-80.5873629462707,-38.0535448998716,7.15691528607347,73.9548639219834,208.310710824073,22.5839259365857,43.3170675594108,59.8974212718786,-20.8133795634382,-163.389449089901,119.109056978955,-53.1217427400772,-25.9448590169872,-22.1405780172507,-121.73518876707,-56.1285729587148,-27.4972420314499,-38.4364618487935,-122.317334863214,13.0555062567543,-59.5410156823434,-69.8076685554481,-98.9225557650254,242.123175244389,-104.824256723454,-76.1589618692862,NA,-65.539260425875,-30.1646281281992,34.0323628612263,-22.101926757274,-58.5350273226066,240.167450455062,-119.617756249695,168.378475387446,246.251258542945,-18.4543745731102,49.1984120630334,-43.4955282734505,-1.6407005272296,47.9757647345213,109.274379600732,333.045110794531,NA,735.810921719457,82.027570391231
"4","old,",117.21955570844,257.992994102094,212.467997773215,-32.7451277609355,312.771400056911,-92.8980751452766,-52.6440342781806,-37.9088272921892,-53.7990110701928,133.038772115864,-5.556603879637,191.725917067648,73.8022499930354,13.3136696882772,67.953023514101,-109.748525591028,134.170372719109,26.5884980687275,88.0490749639182,200.66840157346,-105.14200163249,35.742901489044,-222.448876479253,-0.840116299177523,49.2114506146875,-32.7895672866238,-40.0992927582979,-1.62159541684877,58.5499984428938,-77.7598923934865,-112.791371145262,-25.5064875124866,-42.8562588985918,102.343089464545,73.5061516023556,-0.966920032045271,NA,-49.7972935999537,-66.3573462086034,-81.0154709361294,80.6419667701451,17.6092362344583,-40.320480788803,40.5604279080313,-96.6007113746173,25.1705388919124,-23.8452571239724,-78.4668970565543,27.9633378993909,-130.945091252988,177.202831244688,-71.7083407459915,-84.3023642816985,-61.1774813976994,-59.3790398987189,-14.2454132309858,186.037817257245,149.186076175293,22.9290310798484,32.713598590101,-91.478382831338,-142.827450607885,-5.19737626534127,-42.5894173443791,-12.0507168327791,-24.1421724857757,59.3253278712845,20.3726714484633,-20.4805358535911,-54.5969563705556,-35.4448746467782,-5.82266607508109,-75.3313256802043,118.173019030363,-11.7140067750546,108.444323923632,-104.199634320752,-58.4929334956993,90.7818080701971,163.276010385536,-21.2788598343334,265.899579282804,189.804252489539,-49.3448891741802,104.55760044455,-59.6987489103249,110.905079819963,58.7277336389417,-1.07054750512269,-43.4103408600068,12.9344697405591,-16.248670893146,50.9642204106246,102.68343306519,93.890413559671,136.534385629732,305.025637480007,177.479023514676
"5","I",44.0766687908605,284.97234573889,-20.6669843191823,-36.9077739281075,276.793305668603,113.621127431984,296.303559657218,24.327623402946,-47.5814210223359,176.939706251491,107.858330109202,16.7575233512594,38.9728698218316,68.2336902563573,74.0482896181872,-2.59718257681083,248.693306609145,46.355669664346,71.5868896143475,316.304738630821,-94.6886094962048,78.9666076469763,-67.1764171535134,-1.34738983973111,-16.4348249210581,-75.1216931344471,-47.5602080577501,-6.10818870367192,25.5935215823242,-81.6301219169662,-48.741720772308,-18.8307606237758,41.9305163312855,109.018673957582,61.6118768613789,24.4048813858748,NA,-85.0916740202175,-33.5862022044441,-63.7985233025042,18.406352498675,-18.3570159857904,274.877695967225,-30.521049088041,599.039506878619,-49.502964248832,37.6882571752065,-108.431420981224,30.974488545878,-114.238099735173,170.31084298358,101.703387941065,114.552631712018,-18.5492908911826,215.013094546904,31.1537553101065,31.219136556759,32.9925268914165,-42.2350783588388,49.1621305447683,-22.4733926350373,-121.141455161837,-63.1166759982292,-10.9924411572847,-38.3682902801547,-54.1469558913509,-47.4931222136505,-7.12359533000238,96.5695826799853,-36.078439935842,-54.8274939974707,-12.4571830705871,-42.7022556737871,32.1150817877964,-50.0883598051423,86.4077699613624,-72.3257671126462,-37.4948483749384,-4.25390842241861,-9.27817718022941,-29.621554952736,27.5012285475373,4.52279022997812,-29.7744747289013,101.728050413012,-30.9417268922144,68.4848931175135,159.157158926932,184.08093369884,-161.236599629127,125.224463782588,-60.0725819908951,-52.0704125610655,96.9105934585648,56.4263218550908,17.4094057191904,332.669784761669,36.8333828850229
"6","could",21.6005180142999,281.333210223161,-71.1536748626532,-22.3575790385448,115.430764853013,-91.0711426710301,NA,-69.320977523901,-54.871541086145,128.405127403988,5.97175145741666,47.7153816397773,53.74537671677,57.6736628322505,49.9212681460723,-150.132306595767,280.662728089097,-9.00055912981206,20.5364700804418,137.122955887673,-121.959799011252,28.0016661030666,-251.873029587833,-42.0043584523263,-85.5731242067307,-113.678858670683,-110.27898765848,227.873935678759,-41.4645092702497,-96.4698158856599,-92.8079212695804,100.268270191276,NA,43.4512279668656,-6.52909015065209,-12.7575205046853,NA,-215.032500126532,-65.2810608766566,-94.7544534806712,2.38717152730178,15.2646536412078,-75.7198730408124,-67.7457464266112,-98.4807841256962,-118.938293394506,-31.6897618903653,-207.145389081664,-10.7070456494381,-149.847421758926,92.1668273317234,-22.5122503083436,-90.5873629462707,-38.0535448998716,-116.843084713927,-4.04513607801655,24.3107108240734,-87.4160740634143,-78.6829324405892,-2.10257872812138,-101.813379563438,-163.389449089901,114.109056978955,-43.1217427400772,-39.9448590169872,-118.140578017251,-51.7351887670704,-40.1285729587148,3.50275796855014,-93.4364618487935,-137.317334863214,-34.9444937432457,-28.5410156823434,-65.8076685554481,-118.922555765025,113.123175244389,-134.824256723454,-60.1589618692862,47.127046901069,-14.539260425875,-37.1646281281992,-28.9676371387737,-30.101926757274,-66.5350273226066,2.16745045506229,-98.6177562496951,101.378475387446,33.2512585429448,-17.4543745731102,-109.801587936967,-13.4955282734505,-81.6407005272296,47.9757647345213,81.2743796007324,163.045110794531,-51.0906210667548,192.810921719453,-3.97242960877348
"7","not",149.83859340258,454.652777981026,11.0896704090822,-49.1326764833262,188.112035260808,-156.725007619523,NA,-6.49667706047751,-0.726481054240493,117.67241682774,88.9150407833094,40.7364524955184,-69.1408767306992,46.9536765443039,37.9847788821297,-177.364744586289,150.678017349121,11.177555267267,12.5616798473946,182.213847259247,-98.3242042537282,13.4841368750214,-143.024723370673,-49.6758741460287,13.9960254361056,-124.900275902565,-116.919597858115,-33.1171265124565,-73.4354938439627,-97.049968901313,-23.7748210209442,16.7187547837503,NA,61.2349509622239,-59.4586066446366,0.823680440594748,NA,436.437912926625,-46.4336315405503,-78.2764883915877,66.8967620129884,374.953818827709,-49.9210885367937,-29.1333977573261,-32.7206386235385,34.2793711783309,-23.0007523575794,-13.7884050314441,-26.36627855178,-129.04276074705,278.238835157652,-72.9044311836394,-68.0173656171262,-12.3014178955271,241.085004916489,-10.445690383955,51.7649236904162,27.7882264140011,-43.459005399714,16.5297759083234,-99.1433860992378,-151.265452125869,-42.5038095096373,-82.057091948681,-31.156574648571,-82.1437669543008,-9.61415549036045,-72.1260841443586,-42.4638296757323,-33.7574508923177,-94.5724144303424,-20.7008384069164,-12.1216356780653,-71.8462933838258,-14.5054577850838,148.765472602876,-133.57501191805,-40.8269051221123,347.436569239325,-51.9087188030522,-13.3930915404676,-0.233204295618197,-36.289568263648,-64.1547510257539,22.9477504340372,-23.7797415709547,57.43168425248,187.204208734939,-15.6867204371351,-97.019093783047,-96.6355322454313,-70.8566412590623,21.9526760867279,47.0924865296486,14.735716324811,404.159392326218,462.240353240561,32.9304766381247
"8","figure",66.9814803201598,554.673426344229,-22.7753474985209,-58.9700303161542,72.0901296491157,69.7557898032163,NA,-84.7331277556127,-105.944071102097,133.771482692112,-73.4998932055297,43.7048462119068,29.6885034405046,-6.96634402377618,31.8895127780436,-160.516087600506,94.155083459085,23.4103836716484,16.0238651969653,138.577510201886,-88.7775963900133,-9.73956928291085,-183.297182696413,-26.1686006054751,-40.3576990281488,-115.568150054742,-135.458682558663,-18.6305332256333,-67.4790169833932,-116.179739377833,5.17552860610149,-5.9569721049605,NA,14.5593664691864,-56.5643319036598,-14.5481209773253,NA,NA,-55.2047755447097,-125.493436025213,23.1323762844585,-92.0799289520426,147.880734707178,-71.0519207612538,-137.360856876775,0.952874319075303,-43.5342666567583,0.17611889322534,-19.3774291982671,-159.749752264865,162.130823418759,-53.3161598706958,-96.872361610843,-46.9296084020439,-64.3071295291341,-70.8448589250473,30.583604390902,-74.018224302122,-60.2948959610268,-5.9187560463438,-115.148376295538,-184.951447571917,-100.584509776749,-63.6540681357754,-21.8390012011954,-100.138983548726,-132.795705405425,-118.629817365893,-36.5139482093086,-81.2759673270313,-124.18979507965,8.93367858858961,-43.7507056844825,-211.788356141259,-106.131104754996,44.8020265651458,-145.448879126156,-45.8249902428732,225.472285731941,-67.3545312372864,-21.050396422065,20.1651464396486,-24.0081060040871,-35.7251654710329,-30.2226995344252,-81.5367635890653,28.8518709549297,-16.225216553052,-8.83820164109777,-26.1928350139264,39.07447371254,-37.0327301613132,44.987309058418,29.8653261362743,-7.80019197060883,-21.7156277632411,788.596205958899,-83.4238827322226
"9","out",9.83859340258023,204.652777981026,-22.9103295909178,-69.1326764833262,195.112035260808,15.274992380477,NA,137.503322939522,-80.7264810542405,57.6724168277398,61.9150407833093,39.7364524955184,-29.1408767306992,-0.0463234556960908,85.9847788821297,-73.364744586289,127.678017349121,10.177555267267,109.561679847395,68.2138472592473,-88.3242042537282,33.4841368750214,-224.024723370673,-26.6758741460287,33.9960254361056,93.0997240974351,-286.919597858115,17.8828734875435,-56.4354938439627,-105.049968901313,8.22517897905577,-7.28124521624969,NA,1.23495096222388,-20.4586066446366,-9.17631955940525,871.288383890954,-88.562087073375,-49.4336315405503,-49.2764883915877,10.8967620129884,12.9538188277087,-59.9210885367937,-31.1333977573261,-95.7206386235385,-4.72062882166908,-4.00075235757941,-61.7884050314441,22.63372144822,-144.04276074705,170.238835157652,7.09556881636062,-58.0173656171262,-36.3014178955271,-11.9149950835114,21.554309616045,43.7649236904162,-19.2117735859989,-44.459005399714,60.5297759083234,-85.1433860992378,-140.265452125869,-65.5038095096372,-32.057091948681,-55.156574648571,-82.1437669543008,-109.61415549036,-111.126084144359,-73.4638296757323,-83.7574508923177,-45.5724144303424,-4.70083840691644,-74.1216356780653,-61.8462933838258,-34.5054577850839,35.7654726028758,-133.57501191805,-56.8269051221123,964.436569239325,-67.9087188030522,-37.3930915404676,-32.2332042956182,-38.289568263648,-56.1547510257539,-7.05224956596281,-85.7797415709548,117.43168425248,58.2042087349386,-33.6867204371351,-24.019093783047,-137.635532245431,-60.8566412590623,53.9526760867279,76.0924865296486,4.73571632481098,295.159392326218,403.240353240561,25.9304766381247
"10","what",23.2195557084401,242.992994102094,-34.5320022267855,-24.7451277609355,252.771400056911,80.1019248547234,NA,-84.9088272921892,-83.7990110701928,123.038772115864,23.443396120363,82.7259170676479,165.802249993035,-17.6863303117228,131.953023514101,-179.748525591028,135.170372719109,-6.41150193127255,266.049074963918,89.6684015734603,-85.1420016324899,-24.257098510956,-75.448876479253,-56.8401162991775,19.2114506146875,685.210432713376,-16.0992927582979,88.3784045831512,-1.45000155710621,-100.759892393486,-50.7913711452623,-4.50648751248663,NA,22.3430894645447,-69.4938483976444,-50.9669200320453,52.3186640926211,-148.797293599954,-42.3573462086035,292.984529063871,15.6419667701451,34.6092362344583,-42.320480788803,-68.4395720919687,-131.600711374617,-158.829461108088,-2.84525712397238,-14.4668970565543,10.9633378993909,-95.9450912529878,87.2028312446876,24.2916592540085,75.6976357183015,-36.1774813976994,-32.379039898719,187.754586769014,10.0378172572448,-53.8139238247066,-62.0709689201516,14.713598590101,-85.478382831338,-148.827450607885,-81.1973762653413,-52.5894173443791,-36.0507168327791,-96.1421724857757,-100.674672128715,-116.627328551537,-50.4805358535911,-39.5969563705556,-48.4448746467782,-5.82266607508109,80.6686743197957,-159.826980969637,168.285993224945,4.44432392363248,-144.199634320752,-42.4929334956993,432.781808070197,-61.7239896144636,-21.2788598343334,-14.1004207171959,-29.195747510461,-65.3448891741803,42.5576004445497,-134.698748910325,113.905079819963,1.72773363894171,-42.0705475051227,-73.4103408600068,-157.065530259441,-26.248670893146,34.9642204106246,63.6834330651905,193.890413559671,NA,139.025637480007,7.47902351467563
