"","word","A2AEA24UF8Z47U","A37PQ1206C9RZP","A38UOBWJF4WFGG","AO8HNJRGZQD0A","A2N5QS96KRPFVO","A7LIT8S8LGRAH","A1SVVVJWT7H51V","AVG2BI8CS5YKX","A40F6EHXE5HXU","A1FJ2AUFVA4PIW","A2PURNW8W7L0LT","A3U3DA0O35IORB","A2LFVSF501ZT5W","A3S82OHUGFBR7L","A7MOPEHSUGVQ","A29FWCDRAWIM8K","A1M7SLIGEI3IH5","A36S7XIINCHR8R","A1P8M5BKOTAA8I","A2V1ZN7OXOH7J4","A2VAMUTJ9WGI4P","AP0ABE3ZSEGPC","A33V10XAI3IWXS","A2FZ90AHSTSHXA","A2TJHKHM8T2SV3","AWZ3AH7JH0DRO","A253Q11TZPQPIZ","A3GYYRNHP635XM","AWMGC78CSF6YL","A3CT5E0WZJL8PG","ACPUTK2MNMYHB","A3O1NDWT4BXNX4","A2XYF4PPQETJYX","A29Y6BVD19FBAE","AHP7FGH4N2TX5","A3S3YW6II31OZV","A3ULFB0PQ1471E","AKEZ83FQITFD8","A13YITU82HLBRK","A289P9QG98HRAZ","A2MSCP411YP41Q","AMYL22GHCON9A","A1INWCFGQI236V","A2O7F23PZP1T9B","A2JKCS6UCAUARS","A1S8D4HVA9HI0X","A279TEENVAAZNB","A3NOO9K3CY1YU5","A2BNOEYZ3VRW2R","A98XHW6B1VSSQ","A2068Z6G94OAGH","A1JGQHSSW8L24P","A3EQVDHHKZRC0K","A3P9YDDTO87QGZ","A2MVFSJBKHUPH9","A2XJRU950S5J87","A3GLUDQZGEJL5G","A36JU4ZU054BRK","ASOBUAZ0IQYSJ","A5U9HUMS31DIR","ACUXGYJAQUZAE","A2UODR1DE3DXTT","A1WURYN1U64Y1T","A3ALSJWTGWPVN8","ALE5RDP8XZL3","A3BFHFBYDCCIGV","A1J8TVICSRC70W","ACB0CSL0QMRGQ","A1WNHQEMEHNCPT","A3RILJPBGAOWN4","A2JRWVPVWD1KAS","A11C7PRG75IWO0","A1DQ7T6BB0VJDP","A38NIARZOSEVUG","A3VKJDJVRTFA1A","A2I6WWFA5KE0MS","AEUGCBFJPU0MX","A2U750ON775R3L","A3CWWX1NWA00S3","A2BJELRJ9N4NA5","A11AUVZ4MCA7VU","A1VXGA62J77RO","ABMVPQ5CQFHGS","AZACM8ZW3MN8N","A32WFJGJ0VUKOO","A312SMYBQW6E0W","A2EB58DNAYBZTM","A2VG5S4UL5UGRS","A1X55V63BZ8MKL","A7ZNPY1T3SX8I","A1I02VZ07MZB7F"
"1","This",45.0037080336295,-92.6681666471214,88.4152646150204,213.57164754896,-6.89646726924913,-76.0642113044009,134.948672834507,56.6906349343524,-134.317617043269,-27.1680515670263,43.2947201198248,9.4351241465514,82.3911395345602,116.413197440564,1.92689018179816,93.5307549479722,1235.84466289613,-39.0555860863015,1236.85683269384,134.087792813813,34.7543346042903,156.935290070535,78.3495484817835,-45.7750661710237,162.379951982301,92.4199761655025,56.2171140133722,-16.3496770322518,-83.3222015740191,-44.9143936551992,-15.8384717133064,80.0895666575281,-97.5660449535333,92.0880668234413,20.5361309084842,33.6872694207755,-186.713567985658,3.71011146225108,-83.2488274039192,-168.794429850785,290.084940209677,110.353060444511,176.561523122,92.7358139614494,-44.5253673159978,-50.6461058834085,2.19736573273057,-36.0329493073802,92.931631253519,96.9533275046092,79.4429048726773,28.9109151980655,-82.1148865809174,132.236798135404,153.85891043818,-23.3979232629105,-8.20672988640979,-90.3034165624172,-32.794397996615,-14.3759684661376,-52.4398534068096,-121.055756645391,64.9491064270155,302.727152146918,-92.017366118094,58.4266882336515,-45.1307977958046,-27.3941467153668,-79.382613738262,220.556924724665,188.561872160012,-33.7073587276198,-68.9300652128832,-7.50916404963724,-125.88061465721,-45.6282008287608,-34.6215350570522,237.679868642828,-26.8500441681942,-44.8774287906415,-105.695421894602,-20.7786919730807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","is",-16.2133317872487,-64.9029516595422,46.3296581959992,170.958679929467,52.214672372632,-61.9673615995576,135.074784850331,86.5569437057016,-145.572485714959,-23.2452880558202,154.203618939373,17.5609687487075,65.1745005644639,85.1311548096421,-5.3960768404362,33.1281657614282,29.3565555530281,-18.9095553061838,340.054161120164,44.2919219425979,39.7088253647878,65.32668087613,-42.6607601319121,-18.0206546525067,148.387235887861,114.848929252458,-3.80502594613442,6.81132477043122,-80.3777208756132,70.2312440600988,-42.4450661268398,-91.5941542488192,-134.304752302733,13.2417776985362,50.7562395311136,-1.91502255501637,-80.3464858825393,-42.1429881081843,-73.8258727950007,-70.1744748177467,-44.0152133287785,140.693567608907,7.86142098296634,0.938179301240334,-19.9426553030606,-3.9109713292708,-28.3442455726223,216.911506473852,130.948076560727,8.73259745936979,-26.5585999598196,3.32150016259787,-55.1924571124864,-44.6498027434164,141.934549170871,-85.1658118097769,-27.8661242699212,-100.122247124817,-3.15332443002347,8.19586415746711,-85.5881749512783,-62.1182280938738,12.6341082385982,NA,-96.8902949993597,39.2711399948923,-51.5699879331883,4.0975520255724,-49.5127895625176,92.2715768366693,36.4797901168164,-10.2420194670031,-66.2992311076975,-33.5338625887752,53.3782505910162,-121.645006360286,-40.0900276269831,186.279720548172,-66.0792146292907,-58.2503720755373,-27.0236566808836,-59.9950783663083,-83.1581098121578,NA,NA,NA,NA,NA,NA,NA,NA
"3","a",-66.8218516976909,1034.9796558343,46.2868549864991,287.652196119684,203.770242193575,-72.4189367471305,278.137840858249,91.4900980913623,28.8000799492088,-60.2839063002167,89.6580683491334,62.123891049787,96.5661810794333,129.490133494167,14.9424396484461,178.926871168169,NA,-32.8365399161226,1827.15282533332,-25.606013493018,56.1860707450413,195.022376278926,-68.1659144387834,199.856551106736,118.390877840625,131.063405795941,-1.81609592585404,-14.1081743282296,-73.4054805264174,-28.1959370822748,-77.748363333606,58.5639852979931,-79.6741059773565,-26.181366863913,50.8662938424285,-116.216168542906,-68.6629448309735,-40.5695378934434,-45.6143954905343,-58.3644973012254,82.4347099019966,160.863821191095,-16.4886300865404,16.5393619711308,-43.6512992966031,-27.5434040522135,-17.6150512252996,4.38373436448114,101.956299214324,164.122232436741,-4.55935237606145,-20.4732073551287,45.2687576217334,162.406896817166,111.472368537229,-47.5497560832043,-115.695821461669,-71.5316624060222,40.6672123532756,104.481780469242,-64.6623357235203,-72.1494638181199,13.9766091443992,NA,-63.8267594400053,170.193365875498,-26.2895830018763,-3.65659860395332,-82.5778774746345,44.128902892665,125.438749095202,-48.5093498366867,-51.983814055098,-14.5462118583588,219.00768321513,-114.653409126083,-2.32427391192894,222.079646500859,-23.693799859839,-88.9368437179745,-62.1877740740471,100.396728437079,-127.646666078918,-119.147873058743,201.419327581738,NA,NA,NA,NA,NA,NA
"4","story",-214.387772055877,89.4492258589548,10.4580678245157,288.878131358813,92.5479629098035,-19.6126361568421,187.885616826575,83.7574805487179,-98.6901827074564,-84.1294333226204,17.8402707100974,-19.1277981545328,80.9994590195573,104.054218756065,6.58837369291515,59.7320495412089,114.088716567638,-65.1286014763585,648.758168480698,-21.0142717505576,24.277089224026,105.23959466774,23.8547027886902,-55.6522719302159,130.376310029568,26.2054996220187,-9.77181600697263,-19.4301779335704,-98.2944419232065,132.512787487197,-55.5351745065418,-102.068572889258,-96.1966912788884,51.5112113858833,-49.5739234028323,2533.98841540865,-99.3971090372274,-59.8633387524071,-119.460304708408,-194.604407367313,-87.364983021097,91.1828068623433,-31.0884258085137,-11.8653687084276,-12.8167233224349,-58.0136731604511,-31.5318286145944,-143.50517719804,-2.07659140006398,44.5636925272578,-52.5563427110956,-66.2943772842223,-96.5761013151503,-26.8199014251654,74.3210910717964,-29.0139789895016,-52.3770326946701,-129.894001281195,-12.6149347799289,45.3381152221449,-71.365692634553,-91.0245209211383,-0.393394478802761,-18.255520294119,-168.080901677434,6.50446235308774,-4.411202727125,-10.6399960858504,-131.317525826178,84.699598668684,228.602913181659,-76.4400283579318,-85.2454822654844,-1.49681478002747,-251.510047281324,-172.619798062943,-41.3872887721497,90.8799426901099,-75.2354589376514,-78.1909571482277,-67.5313045013829,-13.170498776478,19.307558988321,-219.3760972316,2.23831420362047,NA,NA,NA,NA,NA,NA
"5","of",-156.213331787238,13.097048340464,32.3296581960032,184.958679929466,123.214672372632,-99.9673615995584,364.074784850331,101.556943705701,84.4275142850425,-69.2452880558176,44.2036189393744,33.5609687487071,85.1745005644643,37.1311548096417,-29.3960768404366,97.1281657614286,-151.643444446971,-10.9095553061816,2010.05416112017,61.2919219425971,24.7088253647875,-14.6733191238702,7.339239868085,-2.02065465250217,86.3872358878608,214.84892925246,-19.8050259461337,-25.1886752295648,-97.3777208756147,-57.7687559399068,-37.44506612684,-83.5941542488197,-120.304752302739,-9.75822230146388,-119.243760468887,104.084977444983,-152.346485882537,-42.1429881081843,-109.825872795003,-198.174474817747,-71.0152133287768,92.6935676089073,-32.1385790170337,-43.0618206987588,-43.942655303061,-34.9109713292729,6.65575442737669,-167.088493526149,-21.0519234392733,53.7325974593705,-56.55859995982,-21.6784998374021,-47.1924571124875,-40.6498027434167,78.9345491708705,-53.1658118097786,-107.86612426992,-80.1222471248153,-35.1533244300255,23.1958641574679,-59.5881749512785,-126.118228093875,-22.3658917614013,71.6924970289891,-61.8902949993624,133.271139994896,-4.5699879331885,-24.9024479744276,-84.5127895625202,-18.7284231633303,50.4797901168164,-84.242019466998,-79.2992311076946,342.466137411224,101.378250591017,-71.6450063602979,-40.0900276269841,259.279720548172,-76.0792146292921,-83.2503720755378,-40.023656680881,-67.9950783663103,-45.158109812107,-251.204929101958,19.1240742372062,NA,NA,NA,NA,NA,NA
"6","how",-185.604811876784,7.21444084662761,42.3724614055074,292.265163739248,96.6591025516892,-52.5157864519863,321.011728842412,21.6237893200401,130.054948620876,-111.206669811419,98.7491695296154,36.9980464476271,43.7828200494953,88.7721761251161,-18.7345933293194,31.3294603546887,151.600609224565,-20.9825706962406,2168.95549690701,9.18985737821222,-9.76842001546635,-17.3690145266666,-17.1556058250466,-42.8978604117401,163.383593935097,78.6344527089797,-21.7939559664133,-36.2691761309,163.650038775188,16.6584252024612,-27.1417689200739,-89.7522937956325,-102.935398628122,-44.3350777390148,-29.3538147802019,16.3861234328727,-141.0300269341,-43.7164383229252,-113.037350099471,-125.984452334269,-115.46513655955,33.5233140267193,-39.788527947527,-30.6630033686484,-44.234011309519,-43.2785386063323,-27.073439919947,-113.560721416779,3.93985390712978,3.34296248199962,-58.5578475435785,143.116207680325,-97.6536718467084,-40.7065023039996,31.3967298045125,-51.7818675363529,-128.03642707817,-110.712831843608,18.0261387866734,4.9099478456936,-39.5140141790366,-55.0869923696291,6.29160733279824,17.7098245879531,-135.95383055872,127.348914114293,-86.8503928645007,-26.1482973449018,-121.447701650406,11.4142507806745,109.520831138431,-4.97468909730925,-118.614648160291,83.4784866808069,-48.2511820330969,-108.636603594513,-45.8557813420393,144.479794595485,-86.4646293987452,-75.5639004331011,-49.859539287715,-36.3868851696995,-35.6695535452977,-212.261985145172,99.8288208926776,NA,NA,NA,NA,NA,NA
"7","Mr.",-225.604811876784,257.214440846628,219.372461405507,157.265163739248,89.6591025516892,-46.5157864519863,938.011728842412,105.62378932004,130.054948620876,154.793330188581,88.7491695296154,193.998046447627,73.7828200494953,80.7721761251161,-14.7345933293194,199.329460354689,NA,75.0174293037594,NA,-30.8101426217878,-0.768420015466347,-33.3690145266666,42.8443941749534,-12.8978604117401,53.3835939350966,178.63445270898,-37.7939559664133,10.7308238691,NA,-0.341574797538749,-17.1417689200739,310.247706204367,-88.9353986281225,-59.3350777390148,370.646185219798,43.3861234328727,-75.0300269341005,-42.7164383229252,-78.037350099471,-206.984452334269,NA,241.523314026719,-39.788527947527,-4.6630033686484,-68.234011309519,-42.2785386063323,-9.07343991994701,-26.5607214167793,5.93985390712978,11.3429624819996,-58.5578475435785,-44.8837923196755,-52.6536718467084,-21.7065023039996,30.3967298045125,-26.7818675363529,-61.0364270781698,-30.7128318436085,-13.9738612133266,238.909947845694,-41.5140141790366,-97.0869923696292,-22.7083926672018,-53.2901754120469,1.04616944128042,NA,-12.8503928645007,-54.1482973449018,-105.447701650406,-3.58574921932552,10.5208311384305,49.0253109026908,-94.6146481602912,-12.5215133191931,-24.2511820330969,-88.6366035945129,-13.8557813420393,136.479794595485,-90.4646293987452,-67.5639004331011,27.140460712285,-52.3868851696995,-74.6695535452977,-87.2619851451722,9.8288208926776,NA,NA,NA,NA,NA,NA
"8","Sticky",236.220747854576,-56.4333816348816,109.50087103402,211.184615168595,104.992393088861,-69.16106100927,160.822560818657,151.824326163057,-43.0627483716227,45.9091849217786,162.385821300338,171.309279544387,69.6077785045883,43.6952400715393,-37.7501427959676,97.933344134469,-240.667229760826,220.798383133582,1217.65950426754,-73.1163363149425,13.7998438437721,-8.45610073505602,79.3598570955586,390.470522310546,129.372668076804,159.991023078538,-59.7607460272523,-38.5106788349056,252.733317727596,NA,-73.2318772997758,-132.226712436071,-57.8273376042714,-54.0656440516676,-149.683977714148,95.2895613965403,-95.0806500887909,-60.436788967148,35.3282179871239,-60.4143848838353,217.18509374813,72.0125532801552,-6.73837473900695,-4.46655137831721,373.891920671107,-64.3812404375104,-30.2610229619181,-256.97740508867,-35.0848140536609,100.174057549887,-54.5555902948542,-42.4996697664957,-77.0373160493712,151.123399014252,72.7832717054384,276.369965283924,-68.5473355029203,-28.4845859999879,9.56452843676993,73.0521989103706,233.708468137689,-78.9932851968929,-10.7358953846033,67.7618072648451,-92.1444372367911,62.5822364724851,-4.69160765843717,-19.8858454563246,-88.2524379140632,84.8422726126887,75.6439542032727,33.827302011757,-109.560899318081,130.515534489555,-377.139479905437,-129.611395297158,64.8469575127951,112.080016737423,-94.6208737071045,-79.504485505791,63.6328128917832,-21.5623055798672,-25.2038847448697,-27.4331532748143,-6.05693914090819,NA,NA,NA,NA,NA,NA
"9","got",-105.604811876784,22.2144408466276,83.3724614055074,204.265163739248,72.6591025516892,-9.51578645198633,255.011728842412,64.6237893200401,-19.9450513791238,-95.2066698114185,58.7491695296154,114.998046447627,63.7828200494953,64.7721761251161,64.2654066706806,23.3294603546887,65.600609224565,67.0174293037594,1301.95549690701,26.1898573782122,-3.76842001546635,14.6309854733334,42.8443941749534,75.1021395882599,100.383593935097,158.63445270898,-36.7939559664133,-67.2691761309,-40.3499612248119,87.6584252024612,-6.14176892007391,-65.7522937956325,-44.9353986281225,13.6649222609852,30.6461852197981,55.3861234328727,-116.0300269341,-42.7164383229252,-84.037350099471,-111.984452334269,196.53486344045,33.5233140267193,-47.788527947527,-19.6630033686484,-39.234011309519,19.7214613936677,-17.073439919947,30.4392785832207,573.93985390713,65.3429624819996,121.442152456421,-14.8837923196755,-75.6536718467084,-39.7065023039996,30.3967298045125,-42.7818675363529,142.96357292183,-90.7128318436085,26.0261387866734,98.9099478456936,40.4859858209634,-71.0869923696292,68.2916073327982,25.7098245879531,-92.9538305587196,2.34891411429309,-28.8503928645007,-7.14829734490184,-57.447701650406,68.4142507806745,-123.479168861569,9.02531090269075,4.38535183970881,59.4784866808068,82.7488179669031,-38.6366035945129,26.1442186579607,88.4797945954845,-65.4646293987452,-83.5639004331011,-17.859539287715,-60.3868851696995,-125.669553545298,-189.261985145172,4.8288208926776,NA,NA,NA,NA,NA,NA
"10","in",-76.2133317872375,-142.902951659536,275.329658196003,217.958679929466,131.214672372632,-46.9673615995584,740.074784850331,320.556943705701,-15.5724857149575,-85.2452880558176,64.2036189393744,158.560968748707,125.174500564464,61.1311548096417,19.6039231595634,145.128165761429,-218.643444446971,365.090444693818,1806.05416112017,116.291921942597,8.7088253647875,-14.6733191238702,-52.660760131915,-34.0206546525022,86.3872358878608,184.84892925246,-4.80502594613368,-25.1886752295648,17.6222791243853,-33.7687559399068,-65.44506612684,-91.5941542488197,22.6952476972605,5.24177769853612,-49.2437604688867,-20.9150225550166,-143.346485882537,-26.1429881081843,-65.8258727950027,251.825525182253,-87.0152133287768,340.693567608907,-24.1385790170337,-7.0618206987588,-35.942655303061,29.0890286707271,-3.34424557262331,-129.088493526149,2534.94807656073,82.7325974593705,-26.55859995982,-28.6784998374021,-25.1924571124875,-55.6498027434167,-46.0654508291295,-4.16581180977858,8.13387573008039,59.8777528751847,-11.1533244300255,148.195864157468,728.411825048722,-83.1182280938745,16.6341082385987,-55.3075029710109,104.109705000638,-22.7288600051042,-21.5699879331885,-36.9024479744276,-68.5127895625202,12.2715768366697,115.479790116816,-36.242019466998,-67.2992311076946,-17.533862588776,114.378250591017,-111.645006360298,-24.0900276269841,11.2797205481718,-82.0792146292921,-58.2503720755378,18.976343319119,-59.9950783663103,-23.158109812107,-245.204929101958,25.1240742372062,NA,NA,NA,NA,NA,NA
