"","word","A2BZN95HXC8BL9","A2JRWVPVWD1KAS","A36JU4ZU054BRK","A2I6WWFA5KE0MS","ACUXGYJAQUZAE","AWMGC78CSF6YL","A2L54KVSIY1GOM","AMYL22GHCON9A","A1INWCFGQI236V","A3NOO9K3CY1YU5","A3O1NDWT4BXNX4","A1J8TVICSRC70W","A3AA8NU3WAJ3ED","A38UOBWJF4WFGG","ACB0CSL0QMRGQ","AHP7FGH4N2TX5","A3S3YW6II31OZV","A7LIT8S8LGRAH","A11C7PRG75IWO0","A40F6EHXE5HXU","A3ULFB0PQ1471E","A3VKJDJVRTFA1A","A5U9HUMS31DIR","A2PURNW8W7L0LT","A2U750ON775R3L","A1WURYN1U64Y1T","ABMVPQ5CQFHGS","A2O7F23PZP1T9B","ALE5RDP8XZL3","A2V1ZN7OXOH7J4","A2VAMUTJ9WGI4P","A3EQVDHHKZRC0K","AP0ABE3ZSEGPC","A3RILJPBGAOWN4","A32WFJGJ0VUKOO","A2FZ90AHSTSHXA","A38NIARZOSEVUG","A2TJHKHM8T2SV3","A1VXGA62J77RO","A2AEA24UF8Z47U","AO8HNJRGZQD0A","A1WNHQEMEHNCPT","A1SVVVJWT7H51V","A1DQ7T6BB0VJDP","AVG2BI8CS5YKX","AWZ3AH7JH0DRO","A13YITU82HLBRK","A3CWWX1NWA00S3","A2BJELRJ9N4NA5","A3GYYRNHP635XM","A11AUVZ4MCA7VU","A289P9QG98HRAZ","A2JKCS6UCAUARS","A36S7XIINCHR8R","ACPUTK2MNMYHB","A1X55V63BZ8MKL","AOTSROWZG1XS1","A2XYF4PPQETJYX","A2BNOEYZ3VRW2R","A29Y6BVD19FBAE","A37PQ1206C9RZP","A98XHW6B1VSSQ","AZACM8ZW3MN8N","A1JGQHSSW8L24P","A3P9YDDTO87QGZ","A2N5QS96KRPFVO","A2MVFSJBKHUPH9","A2XJRU950S5J87","A3GLUDQZGEJL5G","A33V10XAI3IWXS","ASOBUAZ0IQYSJ","AJDL05304W8E","A2UODR1DE3DXTT","A1FJ2AUFVA4PIW","A3U3DA0O35IORB","A2LFVSF501ZT5W","A1M7SLIGEI3IH5","A3CT5E0WZJL8PG","A1S8D4HVA9HI0X","A3BFHFBYDCCIGV","A2EB58DNAYBZTM","A1I02VZ07MZB7F"
"1","The",-33.1212121212121,186.341002396307,34.8581478999998,-35.6940469350381,-39.9965600368088,-18.22757166821,127.823134049925,232.304310571975,558.473926399676,186.11623911929,221.324986162038,118.818927368999,265.154908743449,251.558194352278,99.9347453201093,62.866665799305,46.4081138209714,-0.742911163657976,8.33507920745803,-50.066059781207,-64.9352127985621,151.854879918242,212.712044140941,-142.012331320243,385.602006615895,192.711229558703,-74.2844846453297,56.7398480819292,-8.29934142813565,96.784944109361,77.2086645437564,-13.4024058015713,667.523911559068,181.539752073044,640.271707344555,25.0978155965759,168.644964898579,-59.0099489318811,54.8170448090201,-71.8829096778988,93.54236012294,73.3717377357862,188.242697860534,-8.09848505382645,38.0382513712141,-19.3806446392202,-50.4311086500136,-127.906128068598,-29.451688059726,-41.8320281684427,19.8336069696692,634.481612948185,-69.2692944685319,415.096616716517,20.7749101874554,114.926470588235,250.885021450137,-194.968260639403,194.154439273457,146.715811033484,-11.1334027570609,436.239643506069,-9.95883777239724,-15.9951112673749,-1.10335988212692,101.566597632687,128.932573169863,-46.0956445263376,52.8334302148312,-44.9327968630103,-7.51463025793532,36.5672233476581,-102.573717253189,72.6170148239108,-18.9525106325983,26.2723201403398,-54.3624821720473,167.149177005857,7.0905417353681,6.8150526635883,NA,NA
"2","text",-17.3131313131313,203.662405089209,31.6639193678983,-241.038146259698,-53.6950892494384,-69.3613395078629,20.0940357111131,282.74932820837,502.537483254582,301.833086905185,146.615011262478,0.0321441493994152,69.7465617975601,102.43873247166,23.4574848138822,-46.1785044336175,122.021259655189,114.760185606395,-6.89239207050908,1696.11001282015,-86.8085499742383,-18.6755237608585,254.224847812723,-149.902138906484,381.671542567405,137.424525907393,-103.330398344673,-109.350128317663,-27.895892626719,7.39760854087196,82.0731103987255,-55.8104707829255,68.0576310270994,-5.24455146997153,NA,-17.8362783373465,118.274058829236,-78.144481558127,-47.8118968161829,-130.017917060453,75.2838225448191,5.98712641509342,158.513171864393,-104.995204337336,-28.3157535485655,6.25744200168572,-72.2950682396766,-112.857671946364,-48.2427961107353,-119.798175317936,-112.399382541749,320.768441513635,-90.7750771009738,262.370375929158,-10.9224258637558,208.205882352941,268.145883068032,282.095271838729,43.5100509921,65.9037727809373,-61.2824321543881,178.191902271651,-26.3825665859564,-52.535478057603,-40.9077314709236,35.9358167745536,111.988560839485,-8.58490660859284,68.995030916139,-46.8474819048345,11.6957082470399,64.1595565063934,-97.4956016990086,177.991155497329,104.468432878903,93.5442014031998,-50.3515021067864,-26.1918540705481,16.863676466485,-29.4828162374103,NA,NA
"3","message",-17.8888888888889,139.626613167882,66.0812337716727,-147.070444233605,-47.7906768872396,-84.7626430268209,47.9067406946789,218.084381117625,470.728153819489,17.9836302629873,130.485086563761,3.67179449061621,167.521520959845,-16.9196531701272,50.0257032953892,36.6859848676699,63.8606971577742,-51.7305240834337,-63.574805904416,234.638230624219,-160.428561501287,125.73326520184,865.76325882776,46.4284383348026,305.880150421847,173.564414953407,-21.4681394427068,103.379942483578,-5.68554622247024,24.2356018353058,48.6664479636222,104.965334273054,132.658789431264,250.402537900997,124.734717938954,-55.6385601390404,39.1613406212492,-52.548079436746,228.301278308187,-134.422939208257,165.508209810463,13.8332924528303,57.3245938759453,48.3146378121515,-35.3777683078983,3.17170192443125,-42.8869470087317,-89.7123035796515,-36.6161202637487,325.303383233589,483.901648923936,258.628927210051,-147.292424998327,40.1916535669427,-23.0144340173662,NA,31.9284679216694,-42.7141307269396,263.576886148129,25.4676580233464,226.270479653665,116.048678568405,55.3462469733656,-12.1565784281992,-34.3208462373168,126.043474200088,121.156523848312,80.947307144652,-3.52016697996899,-52.5915370302514,24.3267237617915,NA,-101.261255036404,-50.8864224825122,-38.2687365867052,35.3598451917005,-74.3185619110263,297.785052700154,30.1830806600218,52.6235770595783,NA,NA
"4","said",-25.3131313131313,109.66240508921,62.6639193678979,-121.038146259699,-61.695089249438,-71.3613395078639,62.0940357111131,114.749328208371,462.53748325458,52.8330869051862,147.615011262475,-7.96785585059984,67.746561797559,54.4387324716593,23.4574848138822,53.8214955663843,158.02125965519,-76.2398143936032,138.107607929493,-43.8899871798507,-69.8085499742343,173.324476239142,99.2248478127229,10.0978610935184,308.671542567403,42.4245259073933,107.669601655328,152.649871682339,-157.895892626718,424.397608540872,96.0731103987257,-19.8104707829294,37.0576310270972,114.755448530028,184.137459993164,-16.8362783373479,150.274058829235,-15.1444815581286,704.188103183814,-200.017917060452,122.28382254482,19.9871264150944,161.513171864393,20.0047956626628,209.684246451437,-43.7425579983154,-39.2950682396796,-60.8576719463626,-28.2427961107357,-88.79817531793,42.6006174582486,-14.231558486364,-90.7750771009749,46.3703759291589,3.07757413624398,NA,156.145883068033,243.095271838729,104.510050992101,-22.0962272190627,0.717567845610551,156.191902271651,19.6174334140436,-59.5354780576033,-36.9077314709264,97.9358167745545,32.9885608394852,-32.5849066085937,67.9950309161397,-26.8474819048345,10.6957082470409,-94.840443493607,-85.4956016990067,52.9911554973298,167.468432878892,73.5442014032,-80.3515021067919,-83.1918540705484,16.8636764664823,-29.4828162374084,NA,NA
"5","that",-25.3131313131313,39.6624050892098,51.6639193678979,-181.038146259699,-62.695089249438,-24.3613395078639,83.0940357111131,194.749328208371,414.53748325458,435.833086905186,83.6150112624754,33.0321441494002,346.746561797559,167.438732471659,23.4574848138822,-16.1785044336157,48.0212596551896,-57.2398143936032,-52.8923920705072,116.110012820149,-207.808549974234,173.324476239142,207.224847812723,-19.9021389064816,164.671542567403,24.4245259073933,-28.330398344672,45.6498716823391,-109.895892626718,9.39760854087218,28.0731103987257,41.1895292170706,-26.9423689729028,-21.2445514699724,-7.86254000683599,-39.8362783373479,270.274058829235,-46.1444815581286,864.188103183814,-100.017917060452,115.28382254482,5.98712641509442,75.5131718643925,-61.9952043373372,10.6842464514372,36.2574420016846,-60.2950682396796,-24.8576719463626,78.7572038892643,-88.79817531793,-36.3993825417514,110.768441513636,-42.7750771009748,6.37037592915888,25.077574136244,NA,12.1458830680327,-69.9047281612706,74.5100509921014,-38.0962272190627,95.7175678456105,122.191902271651,-88.3825665859564,-28.5354780576033,-50.9077314709264,97.9358167745545,1.98856083948516,-25.5849066085937,15.9950309161397,-76.8474819048345,10.6957082470409,207.159556506393,-117.495601699007,37.9911554973298,NA,23.5442014032,-86.3515021067919,285.808145929452,-15.1363235335177,-28.4828162374084,NA,NA
"6","Lucy",-17.3131313131313,625.66240508921,372.663919367898,-61.0381462596994,-17.695089249438,-62.3613395078639,21.0940357111131,274.749328208371,846.53748325458,204.833086905186,74.6150112624754,-47.9678558505998,549.746561797559,98.4387324716593,23.4574848138822,233.821495566384,24.0212596551896,-87.2398143936032,-70.8923920705072,-43.8899871798507,-13.8085499742343,317.324476239142,395.224847812723,-29.9021389064816,84.6715425674034,254.424525907393,-8.33039834467197,229.649871682339,-152.895892626718,184.397608540872,58.0731103987257,7.18952921707063,-26.9423689729028,210.755448530028,24.137459993164,-50.8362783373479,62.2740588292353,-94.1444815581286,192.188103183814,89.9820829395475,123.28382254482,37.9871264150944,126.513171864392,-39.9952043373372,-46.3157535485628,66.2574420016846,-42.2950682396796,-35.8576719463626,25.7572038892643,-49.79817531793,262.600617458249,81.768441513636,NA,-41.6296240708411,46.077574136244,NA,60.1458830680327,58.0952718387294,74.5100509921014,-14.0962272190627,63.7175678456106,71.191902271651,443.617433414044,-40.5354780576033,-11.9077314709264,152.935816774555,-29.0114391605148,-32.5849066085937,-90.0049690838603,153.152518095166,2.69570824704094,-15.840443493607,-142.495601699007,36.9911554973298,-19.5315671211077,43.5442014032,386.648497893208,-90.1918540705484,-14.1363235335177,NA,NA,NA
"7","Josephs",-9.88888888888889,953.626613167882,476.081233771673,-67.0704442336055,-16.7906768872396,-88.7626430268209,205.906740694679,314.084381117625,478.728153819489,-77.0163697370127,570.485086563761,1556.67179449062,373.521520959845,-6.91965317012725,10.0257032953892,6.68598486766993,406.860697157774,10.2694759165663,61.425194095584,524.638230624219,-8.42856150128709,152.73326520184,881.76325882776,-83.5715616651974,106.880150421847,139.564414953407,310.531860557293,-14.6200575164225,274.31445377753,-18.7643981646942,102.666447963622,282.965334273054,68.658789431264,138.402537900997,123.734717938955,-38.6385601390404,135.161340621249,-99.548079436746,108.301278308187,-24.4229392082572,124.508209810463,59.8332924528302,146.324593875945,-8.68536218784849,324.622231692102,153.171701924431,304.113052991268,-61.7123035796515,117.383879736251,-81.6966167664111,200.901648923936,35.6289272100505,-43.2924249983266,648.191653566943,-6.0144340173662,NA,47.9284679216694,686.28586927306,110.576886148129,28.4676580233464,148.270479653665,210.048678568405,132.346246973366,-38.1565784281993,-46.3208462373168,391.043474200088,-3.84347615168765,79.947307144652,108.479833020031,487.408462969749,57.3267237617915,98.9365559827284,-155.261255036404,43.1135775174878,398.731263413295,95.3598451917005,-92.3185619110263,184.785052700154,-1.81691933997823,176.623577059578,NA,NA
"8","was",-25.1212121212121,356.341002396319,124.858147899973,444.305953064936,-14.9965600368375,-44.2275716682116,68.8231340499245,176.304310571953,350.47392639961,-21.8837608807475,28.3249861620469,79.8189273689948,323.154908743463,139.558194352255,51.9347453200465,-17.1333342007109,110.408113820995,-4.74291116365972,-3.66492079253766,359.933940218793,-72.93521279855,NA,-6.28795585895608,27.987668679757,66.6020066159221,254.711229558722,70.715515354673,90.7398480819263,-57.299341428134,1.7849441093943,75.2086645437602,17.5975941984094,10.5239115590416,45.5397520730379,107.271707344567,2.09781559654962,88.644964898564,127.990051068077,38.8170448090236,-1.88290967785091,45.5423601229386,-6.62826226415085,115.242697860542,387.901514946167,-13.9617486287842,350.619355360769,53.5688913500044,40.0938719314003,42.5483119402686,-17.8320281684362,-11.1663930303138,74.4816129481645,58.7307055314758,51.0966167165643,154.774910187447,NA,26.8850214501538,-25.9682606393809,72.1544392734256,135.715811033468,35.8665972429257,241.239643506066,3.04116222760291,-40.9951112674047,17.8966401178704,86.56659763271,18.9325731698761,137.904355473658,-57.1665697851574,15.0672031369712,48.4853697421241,-43.4327766523855,76.4262827467925,41.6170148239437,90.0474893674248,-3.72767985963347,52.6375178279529,-96.8508229941159,37.0905417353025,178.815052663596,NA,NA
"9","a",-48.7373737373737,1409.69819701054,139.246604964123,-45.0058482857934,-40.5995016116364,15.0399640110931,38.2813307275473,395.414275299117,478.346812689671,255.682543547385,644.74493596119,90.3924938081841,210.971602635272,433.797118113446,76.8892663323751,-69.0429937349012,39.1818221526049,-11.7491047037727,-60.2099782365985,367.58179501608,42.8114615528185,NA,627.686436797686,63.7672838522342,22.4629347129596,55.2846368613801,157.807342753363,20.9198008811007,121.893760969034,-7.44038475356145,79.4797728338293,571.413724161087,-42.5435273770696,11.1083591590585,74.540202047373,-12.0339965356554,37.3867770372215,225.259116320489,252.074928059442,4.38710508735222,26.0594352791761,16.1409603773586,163.70174985284,-37.305046486826,-12.2537387892272,119.343182078938,37.2968105293725,87.9969596869262,75.1305280422773,-2.89973386944877,39.2995859925613,285.907955817221,309.742270796377,76.549098291375,5.16958228985415,NA,24.363298214396,613.904674404398,36.4432158360741,0.339887538528312,104.164656037556,134.335125974897,33.8886198547216,-38.9143776870074,-26.494616704536,288.828159349021,-23.179402169342,-25.1171203618394,46.5102288122484,-41.1034267794175,-11.9353072677096,-2.61744296994249,-6.72994836160916,-30.1312665228283,30.2056023444898,91.7285576146995,3.61555769744255,-38.1687608412507,3.54427227294287,-0.589209534395037,NA,NA
"10","failure.",5.91919191919193,110.948015860772,282.887005239598,117.585456441759,195.51079390016,21.1035891335267,161.177642355867,228.529398754043,470.791710674458,235.700478048921,353.775111664189,190.885011271022,137.113174013941,11.9608849492772,117.548442789225,117.640814634765,200.473842991969,-34.2274273133772,310.197722817614,-39.1856967744244,217.698101323029,NA,142.276062499439,-21.461369251436,108.949686373329,189.277711302078,215.485946857948,330.28996608399,-76.2820974210543,-0.151733733216328,77.5308938185876,16.5572692917157,-16.8074911006804,303.618234357986,98.600470587552,NA,-11.2095654480796,-23.6826120629517,133.672336682977,247.442053409141,154.249672232345,332.448681132076,90.5950678797963,47.4179185286478,-50.7317732276768,218.809788565347,141.249093401584,46.3361525425856,213.592771685247,699.337236084095,506.668659412498,-87.0842442244779,-0.798207630777241,155.465412779537,-12.7117700685696,NA,17.1893295395483,-22.6505982488292,52.9324978668045,82.655619770816,4.12145025634996,39.0009373339896,NA,-18.6969452183979,-37.1252178261136,255.412693341933,182.212511517921,54.4580450624005,115.641433721328,-54.5062220720571,91.5370622667083,-49.4711108584931,-38.1831394822034,23.4877181908738,86.1522069247623,72.631726454534,614.692418154229,7.44402162372135,-7.04378460879841,NA,NA,NA
