"","word","A2XYF4PPQETJYX","A2BNOEYZ3VRW2R","AZACM8ZW3MN8N","A1JGQHSSW8L24P","A3EQVDHHKZRC0K","A2MVFSJBKHUPH9","A1DQ7T6BB0VJDP","A2FZ90AHSTSHXA","A38NIARZOSEVUG","ASOBUAZ0IQYSJ","A312SMYBQW6E0W","A5U9HUMS31DIR","A2UODR1DE3DXTT","AKEZ83FQITFD8","A13YITU82HLBRK","A1WURYN1U64Y1T","A11AUVZ4MCA7VU","A2O7F23PZP1T9B","A3P9YDDTO87QGZ","A3RILJPBGAOWN4","A2JRWVPVWD1KAS","A2I6WWFA5KE0MS","ACUXGYJAQUZAE","A3U3DA0O35IORB","A3CWWX1NWA00S3","A3S82OHUGFBR7L","A3BFHFBYDCCIGV","A2AEA24UF8Z47U","A2068Z6G94OAGH","A1WNHQEMEHNCPT","A2XJRU950S5J87","A3GLUDQZGEJL5G","A11C7PRG75IWO0","A40F6EHXE5HXU","A253Q11TZPQPIZ","A2BJELRJ9N4NA5","A3ALSJWTGWPVN8","A2L54KVSIY1GOM","A1M7SLIGEI3IH5","ALE5RDP8XZL3","A36S7XIINCHR8R","ACPUTK2MNMYHB","AOTSROWZG1XS1","A29Y6BVD19FBAE","A38UOBWJF4WFGG","A2VAMUTJ9WGI4P","AHP7FGH4N2TX5","A33V10XAI3IWXS","A32WFJGJ0VUKOO","A3ULFB0PQ1471E","A3VKJDJVRTFA1A","AJDL05304W8E","A1FJ2AUFVA4PIW","A2PURNW8W7L0LT","A2U750ON775R3L","A2LFVSF501ZT5W","ABMVPQ5CQFHGS","A1INWCFGQI236V","A29FWCDRAWIM8K","A1VXGA62J77RO","A3CT5E0WZJL8PG","A1S8D4HVA9HI0X","A279TEENVAAZNB","A3O1NDWT4BXNX4","AP0ABE3ZSEGPC","A3S3YW6II31OZV","A7LIT8S8LGRAH","AVG2BI8CS5YKX","A36JU4ZU054BRK","A2TJHKHM8T2SV3","A3GYYRNHP635XM","A7MOPEHSUGVQ","AWMGC78CSF6YL","A2MSCP411YP41Q","AMYL22GHCON9A","A3NOO9K3CY1YU5","A1P8M5BKOTAA8I","AWZ3AH7JH0DRO","A2EB58DNAYBZTM","A1I02VZ07MZB7F","A1X55V63BZ8MKL","A2BZN95HXC8BL9"
"1","The",234.548475591791,1090.10294741154,238.023130935589,4.3931713393714,17.251707425089,188.345815360076,155.53217472349,233.436975758114,66.2587529596321,231.833231820661,721.639787740324,402.944119240089,-83.081962338464,148.835717853998,71.4997676890766,141.381230226398,5.80280343459599,168.332179372688,59.6088577707067,136.77441522957,459.838361244115,-57.5746097237254,-101.350004837588,-30.2150418480118,35.1070899984362,153.235895463384,166.335625855419,-7.50447956155316,68.3118477561528,66.0238974361021,60.1995291911977,110.330442246338,-52.9917184652491,51.8298836081561,314.92097188343,-65.3670250851981,-31.9769539078155,5.12567273951529,108.653755750521,22.6905793789957,3.50368193873089,93.1444967169082,292.847168081258,244.688879059297,278.474605954467,116.162782495388,276.97159677923,-46.9851960112336,9.03668992800952,-87.1239632035084,240.436049649217,154.89456044428,25.0749827773704,58.5857726977086,265.81497673059,69.2259168691694,36.129726469422,-23.6590192109386,-22.9815891828428,124.84399666382,-85.3440900641784,-8.43766076189979,29.3544884035866,94.8801844605992,432.660668777228,-43.8018940179859,359.43895392391,1223.15296483462,-106.421026931743,-25.7667713379586,117.775228995762,-42.0501646454717,-66.1799583247294,24.6581063963256,75.8351025039813,259.279985012026,NA,NA,NA,NA,NA,NA
"2","Roswell",1767.66818439711,33.9384271097759,433.700237516182,-51.7169235487162,-69.1574551391454,258.493793802919,-8.18959444087674,102.490072813412,13.2446066163463,118.469509355949,309.319519935462,779.819162993293,42.3653152627826,-28.3459559641952,250.269628834747,53.95084364572,-87.9464286054148,212.488201561341,-10.5788162770732,192.850889507698,171.557924954043,-70.5481282813645,-87.1587609582771,-0.924912055133082,-77.998059231084,132.969886565359,459.209310023135,-95.1972308164693,-55.8939504288851,49.3952311343529,204.394133548704,-91.7278869691159,-51.185605257504,4.92932880059245,18.0469203637035,-97.0413692908262,-0.624248496994,-14.5315786427906,-31.4759871321863,-16.1083765110241,-25.3082227680533,-90.2156227144924,NA,NA,44.8353765323993,27.2149506963191,-67.1607762388545,-30.7887886986749,-13.4550875661421,-105.853783322819,179.220183486239,57.267450055301,56.5038958755989,40.5007661394193,192.712289371403,218.902385024767,122.143760798811,-62.1186789243855,198.311266139652,-74.9579433425408,156.395312516963,-40.5215601656184,35.13171034338,-179.413292974401,165.601638133923,-58.5362116658804,30.2124058719986,34.3377434403288,-131.302631047919,-61.1223321678874,-47.3473546802777,-32.4607433789155,12.9628898426538,-150.391340292034,88.6255228938932,172.414530226796,-53.0974866728848,-64.5613213604933,NA,NA,NA,NA
"3","UFO",1107.54847559179,1.10294741156099,275.023130935586,-6.60682866064349,-19.7482925749081,205.345815360025,17.5321747234824,NA,58.2587529595416,591.833231820552,235.639787740333,699.944119240113,-24.0819623384571,66.8357178539881,825.499767689075,128.38123022639,1824.8028034346,184.332179372696,149.608857770692,-127.225584770447,8.83836124408805,-127.574609723572,-70.3500048376227,157.784958152008,50.1070899984394,89.2358954634055,401.335625855495,-27.5044795615937,-41.6881522438298,58.0238974360699,-67.8004708087898,-43.669557753664,75.0082815347525,11.8298836081061,11.9209718834338,-64.3670250852014,-30.9769539078157,-74.8743272604837,22.6537557505171,384.690579378969,35.5036819387211,-17.855503283086,NA,91.6888790592898,114.474605954466,119.162782495382,166.971596779379,3.01480398872274,-10.9633100719941,-160.123963203494,NA,106.894560444259,56.0749827773792,8.5857726976936,113.814976730601,330.225916869145,89.1297264694122,-55.6590192109252,-5.98158918282908,68.8439966637285,-62.3440900641769,-9.43766076189929,53.3544884035868,-120.11981553948,289.660668777254,347.198105982005,-22.561046076104,-73.8470351653468,-75.4210269317279,-40.7667713379372,430.775228995746,-37.050164645481,669.820041675265,22.6581063963083,74.835102503983,107.279985012015,NA,-50.9890977140688,NA,NA,NA,NA
"4","Incident",-23.0518884015667,-172.352702965672,134.61951416133,-76.2444472707347,-68.7597457802107,99.2807884136494,15.8799632680473,59.753347077229,135.991070030546,-23.8714212602087,67.7394529842424,459.287923931592,-37.2728653369079,129.108625581262,81.212094121167,88.0932470005501,59.3662633845814,116.527207108493,138.874265210985,5.62000807723588,-106.262184118469,73.7084920791925,-53.1109499884442,-20.8523796069162,29.9756534615349,179.903384340846,250.17773106505,-147.120418630188,-81.9453999751402,-94.7619354410809,-104.307215361929,-145.242469272977,-44.7340769555677,-104.295809901275,-16.4215925162302,-47.2099553422258,-13.0360721442886,-59.1958914883655,-142.008422852862,348.69188451648,-58.5111989447362,-50.8056525723442,NA,62.5751182473894,-56.3244308231173,12.9779927465531,19.3061305065841,188.260313129476,3.42196806032109,-142.53623835265,NA,36.8606724580635,4.61112415015274,-71.5204855001637,58.4366175316146,1.57150206369105,-65.1027306188508,-63.7335938527506,-46.6155200297249,-104.908428344109,15.8301631622752,-16.2925350165473,5.32601582832913,-182.48666233314,-18.16311952691,-42.2197910778521,-66.8442311409638,-85.1160619082529,-97.523032076967,62.5387776246251,83.3719994007191,-36.563388062274,240.998601884501,15.5962980358781,382.823127991383,-39.3018334695093,2.84044666588156,-145.454377272073,NA,NA,NA,NA
"5","was",1082.54847559179,-63.897052588439,110.023130935586,-52.6068286606435,-98.7482925749081,17.3458153600246,-9.4678252765176,17.4369757581074,34.2587529595416,22.833231820552,68.6397877403327,356.944119240113,-157.081962338457,70.8357178539881,85.4997676890745,57.38123022639,789.802803434599,89.332179372696,17.6088577706916,-63.2255847704472,-73.161638755912,-27.574609723572,-78.3500048376227,2376.78495815201,18.1070899984394,41.2358954634055,NA,-67.5044795615937,8.31184775617019,-13.9761025639301,-81.8004708087898,42.330442246336,-73.9917184652475,-78.1701163918939,-36.0790281165662,7.63297491479858,-14.9769539078157,-33.8743272604837,53.6537557505171,301.690579378969,-36.4963180612789,-34.855503283086,NA,-33.31112094071,79.4746059544658,89.1627824953816,-93.0284032206208,-36.9851960112773,-32.9633100719941,-152.123963203494,NA,-5.10543955574082,-5.92501722262077,48.5857726976936,-30.185023269399,52.2259168691446,455.129726469412,-47.6590192109252,-13.9815891828291,-43.1560033362715,-13.3440900641769,-40.4376607618993,-5.64551159641321,-137.11981553948,-15.3393312227465,43.1981059820048,-48.561046076104,-91.8470351653468,-75.4210269317279,-25.7667713379372,-7.22477100425411,-28.050164645481,7.82004167526519,0.658106396308291,59.835102503983,-52.7200149879854,NA,-90.9890977140723,NA,NA,NA,NA
"6","the",1002.54847559179,642.102947411561,205.023130935586,-46.6068286606435,-58.7482925749081,-29.6541846399754,-22.4678252765176,-126.563024241893,-45.7412470404584,295.833231820552,137.639787740333,2058.94411924011,-129.081962338457,74.8357178539881,232.499767689075,62.38123022639,35.8028034345987,967.332179372696,-20.3911422293084,-143.225584770447,-43.1616387559119,-157.574609723572,-82.3500048376227,-15.2150418479917,-9.89291000156059,226.235895463405,10.3356258554949,-77.5044795615937,-41.6881522438298,-93.9761025639301,4.19952919121016,-44.669557753664,1395.00828153475,-68.1701163918939,-36.0790281165662,-47.3670250852014,-30.9769539078157,-35.8743272604837,16.6537557505171,-69.3094206210309,-60.4963180612789,-44.855503283086,NA,-69.31112094071,366.474605954466,18.1627824953816,136.971596779379,-56.9851960112773,71.0366899280059,-184.123963203494,NA,-5.10543955574082,165.074982777379,-91.4142273023064,-3.18502326939895,495.225916869145,32.1297264694122,-47.6590192109252,-21.9815891828291,-99.1560033362715,-85.3440900641769,-41.4376607618993,-12.6455115964132,-167.11981553948,-31.3393312227465,1.19810598200483,-55.561046076104,-78.8470351653468,-6.4210269317279,22.2332286620628,273.775228995746,-52.050164645481,-52.1799583247348,-7.34189360369171,115.835102503983,-100.720014987985,38.1507799720002,-110.989097714072,NA,NA,NA,NA
"7","alleged",1054.6681843971,9.93842710977499,570.700237516182,-50.7169235487164,44.8425448608498,24.4937938029244,45.8104055591343,142.490072813405,-162.755393383655,207.469509355943,89.3195199354605,982.819162993296,50.3653152627822,423.654044035808,1013.26962883475,524.950843645718,68.0535713945849,379.488201561334,8.42118372292626,7.85088950769927,3.55792495404207,-90.5481282813604,-32.1587609582799,-15.9249120551313,193.001940768916,164.969886565358,162.209310023139,-85.1972308164694,-75.8939504288781,-30.6047688656507,-4.60586645130119,-33.7278869691145,28.8143947424964,-65.0706711993984,-29.9530796362974,-113.041369290821,-0.624248496993993,-13.5315786427891,473.524012867814,-134.108376511022,-97.3082227680447,-50.2156227144925,NA,-80.2021295902305,707.835376532399,29.2149506963188,172.839223761143,-60.7887886986743,-11.455087566142,-184.853783322819,NA,201.267450055303,-84.496104124402,170.500766139408,-49.2877106285881,109.902385024782,71.1437607988018,-62.1186789243855,22.3112661396543,101.042056657458,35.3953125169848,22.4784398343823,-2.86828965661934,-188.413292974408,-58.3983618660773,2.46378833411926,209.212405872008,-93.6622565596717,-111.302631047919,-30.1223321678874,46.6526453197244,-80.4607433789154,192.962889842654,164.608659707964,80.6255228939032,-99.5854697732046,NA,-174.561321360472,NA,NA,NA,NA
"8","recovery",336.948111598433,-123.352702965672,NA,-62.2444472707347,-24.7597457802107,68.2807884136493,56.8799632680473,-52.246652922771,175.991070030546,71.1285787397913,88.7394529842424,678.287923931592,8.72713466309208,321.108625581262,2.21209412116702,52.0932470005501,29.3662633845814,190.527207108493,103.874265210985,NA,-27.2621841184694,-66.2915079208075,-48.1109499884442,-82.8523796069161,121.975653461535,306.903384340846,110.17773106505,-77.1204186301884,188.05460002486,-22.7619354410808,-144.307215361929,-56.2424692729771,149.265923044432,-74.2958099012746,-32.4215925162302,-120.209955342226,-29.0360721442886,1.80410851163452,-84.0084228528622,-63.30811548352,-42.5111989447362,-51.8056525723442,NA,-17.4248817526106,NA,47.9779927465531,-90.6938694934159,-41.7396868705236,-13.5780319396789,-143.53623835265,NA,36.8606724580635,5.61112415015275,78.4795144998363,-6.56338246838537,28.571502063691,-6.10273061885079,-54.7335938527506,-30.6155200297249,-80.9084283441092,-55.1698368377248,-48.2925350165473,-10.6739841716709,-85.4866623331402,62.83688047309,212.780208922148,63.1557688590362,-115.116061908253,53.476967923033,-0.461222375374913,106.371999400719,9.436611937726,-14.0013981154992,-4.40370196412188,7.8231279913832,-23.3018334695093,10.8404466658805,-145.454377272073,NA,NA,NA,NA
"9","of",1777.26854839046,593.394077487008,416.103854290437,408.920695061375,211.853998066152,1300.5588207493,66.4626170145694,NA,-0.487710454659231,294.174162436704,182.219854691551,785.475358301817,190.556218261233,71.3811363085333,334.557302402656,262.238826871558,357.490111444602,725.293173825537,425.155776282633,259.005296660016,-71.3415296834005,308.168769915875,-20.3978158074584,755.712425703793,-43.8666226941797,NA,NA,404.418708252125,-25.6367026975677,-37.8189359885,-14.099121898162,-40.1549754498013,-72.4432467671834,351.055022309982,-1.61051523663344,-50.1984390337965,-18.5651302605211,50.7899855850927,803.186191471193,299.890318351467,116.706658115413,-35.2654734252344,NA,-58.0883687783299,NA,73.3997404451474,320.504690033938,-6.03429783942799,-17.8403656984572,-130.441508173663,NA,47.3013380414983,12.9677545028245,280.607024337265,0.0906485703983348,360.556799830235,-76.6237821129352,-46.0441042825601,-17.0548030134499,130.794481665296,-57.7789407094673,93.3333140890303,86.1601829186383,-95.0464461807485,23.4254264380862,-85.1183146060238,-59.504409063132,-86.3932298167656,490.79937409732,-8.42788113044968,-3.94412508524874,-0.947519962122375,35.7843296334181,249.670468068394,-19.362502593497,294.996348708319,57.2128466332242,-70.0960418024722,NA,NA,NA,NA
"10","extra-terrestrial",420.467456410397,560.02712635531,662.89300396767,25.0078392311012,135.819638450245,127.363739910174,1269.50598264826,75.122815451648,-127.290759241646,391.060203194422,73.5188504232799,485.506772376256,-88.0164907341194,225.199859490356,90.6942816989335,-31.6251228059618,-87.8195087054497,182.878257032929,105.951998603513,-78.4579247969346,-12.6431657710729,-337.981924675831,-113.680651259923,-137.19958757298,11.7390676951066,114.304864320239,NA,-204.429108953659,333.591554108501,-112.176434619952,85.3806444424204,164.126289992259,-80.6703222381441,-205.32205821816,-22.6382084356253,-158.72722980487,19.2575150300602,-101.174707098553,-138.800344338945,233.894233764,-85.3379845349593,-86.1159212930088,NA,-68.4296512140318,-7.76269702276684,-142.154628801338,-262.491708784447,-10.2977704171671,-12.6845313015115,-136.678333621131,NA,45.1996740829113,-29.4238213788549,-299.711750256307,25.9555709734391,145.593555413875,-107.321153377724,-54.2678282080363,-66.9565955541373,57.537206641783,144.743818969889,-24.2313086749138,-70.9252348071347,-247.146986561728,-77.0459384744042,577.627994214405,255.646035742288,-115.200310045484,-62.5066413383974,-43.5112342427628,241.846186129671,-29.4871902125014,316.320010261125,-137.514957012896,-38.3984261312965,191.250893263748,NA,-253.491880476473,NA,NA,NA,NA
