"","word","A29Y6BVD19FBAE","A3P9YDDTO87QGZ","AP0ABE3ZSEGPC","A3RILJPBGAOWN4","A3S3YW6II31OZV","A2XJRU950S5J87","A3GLUDQZGEJL5G","A33V10XAI3IWXS","A32WFJGJ0VUKOO","A2TJHKHM8T2SV3","A3ULFB0PQ1471E","A3VKJDJVRTFA1A","AJDL05304W8E","A2U750ON775R3L","A3CWWX1NWA00S3","A2BJELRJ9N4NA5","A3GYYRNHP635XM","A289P9QG98HRAZ","A3CT5E0WZJL8PG","A2JKCS6UCAUARS","A1S8D4HVA9HI0X","AOTSROWZG1XS1","A2XYF4PPQETJYX","A2AEA24UF8Z47U","AZACM8ZW3MN8N","A1WNHQEMEHNCPT","A2MVFSJBKHUPH9","A1DQ7T6BB0VJDP","A38NIARZOSEVUG","A7MOPEHSUGVQ","A11AUVZ4MCA7VU","A3ALSJWTGWPVN8","A2MSCP411YP41Q","A1INWCFGQI236V","A29FWCDRAWIM8K","A1VXGA62J77RO","A279TEENVAAZNB","A1J8TVICSRC70W","A2BNOEYZ3VRW2R","ACB0CSL0QMRGQ","A1JGQHSSW8L24P","A1SVVVJWT7H51V","A2JRWVPVWD1KAS","AVG2BI8CS5YKX","A36JU4ZU054BRK","ASOBUAZ0IQYSJ","A5U9HUMS31DIR","A2UODR1DE3DXTT","A1FJ2AUFVA4PIW","AEUGCBFJPU0MX","A1WURYN1U64Y1T","A3S82OHUGFBR7L","AWMGC78CSF6YL","ABMVPQ5CQFHGS","A3BFHFBYDCCIGV","A3AA8NU3WAJ3ED","A37PQ1206C9RZP","A7LIT8S8LGRAH","A11C7PRG75IWO0","A40F6EHXE5HXU","A312SMYBQW6E0W","A2I6WWFA5KE0MS","A253Q11TZPQPIZ","A3U3DA0O35IORB","AMYL22GHCON9A","A1M7SLIGEI3IH5","A3NOO9K3CY1YU5","A2V1ZN7OXOH7J4","A38UOBWJF4WFGG","A2068Z6G94OAGH","A2VAMUTJ9WGI4P","A3EQVDHHKZRC0K","AHP7FGH4N2TX5","A2FZ90AHSTSHXA","AWZ3AH7JH0DRO","ACUXGYJAQUZAE","A2PURNW8W7L0LT","A13YITU82HLBRK","A2O7F23PZP1T9B","A36S7XIINCHR8R","ACPUTK2MNMYHB","A1P8M5BKOTAA8I","A3O1NDWT4BXNX4","A2LFVSF501ZT5W","A2EB58DNAYBZTM","A2BZN95HXC8BL9","A2L54KVSIY1GOM","A1X55V63BZ8MKL","A1I02VZ07MZB7F"
"1","Tulip",-19.1830696153477,465.145575599985,359.468565541249,401.678030839362,407.652455114552,155.930809565556,1935.16790416085,163.85680244296,203.800919038649,118.151347692198,188.827965130792,228.521231008959,102.74359307408,152.639375605364,305.314665855018,-16.2267688816307,482.376566672289,425.90949249063,237.488992221565,340.159255404101,53.5442585855918,11.9351314030404,807.051726633146,5.26387790121602,39.5509132147556,3.55146133654845,160.025995662954,-36.6097796885998,154.25253272308,111.071429656148,-3.75030342095547,102.150597791771,46.3991738883464,187.7115395916,198.10411117534,150.2938585948,-84.8211920455009,58.1230636191755,145.383120772057,343.168474489629,30.1670514011406,85.2850276019033,109.212016424918,-74.0025824515505,-119.476728234804,47.1645884932392,328.329241281883,-69.5763108744382,80.9395550005473,-9.954055168802,121.73695888522,127.747032551138,-44.4267583919109,-162.668216838945,612.372004675797,178.850875373553,94.5481616734956,21.3727755562533,-22.6471215482298,-75.249917826256,-118.259795700564,-88.8941947090925,559.708441931907,7.97671921014961,71.9318668998265,13.4011863409863,533.482264299424,220.889139270859,664.048531289911,1.76628743134212,50.2789821280932,-92.0481399109253,-34.3499323388302,-24.1546936354113,34.4352199218323,-72.7324888560604,213.637768571056,-65.3654207933446,89.551146800084,84.4604731549071,-54.7761558346221,49.3368534149851,-22.3665834282917,NA,NA,NA,NA,NA,NA
"2","mania",140.816930384639,245.145575599971,23.4685655411909,161.678030839368,48.6524551145536,61.9308095655596,246.167904160833,153.856802442921,185.80091903865,86.1513476921758,44.8279651307828,-99.4787689910403,310.743593074094,176.639375605347,228.314665855015,375.773231118385,279.376566672285,281.909492490631,193.488992221566,NA,116.544258585588,-3.0648685969789,-112.948273366836,125.263877901245,177.550913214755,243.551461336489,81.025995662943,-0.609779688613087,146.252532723059,86.071429656147,747.249696579003,45.1505977917714,55.3991738883376,43.711539591571,-56.8958888246826,118.293858594764,288.178807954482,156.123063619193,-101.616879227991,15.1684744896089,-67.8329485988754,187.285027601902,193.212016424891,-55.0025824515408,-109.476728234777,24.16458849323,2016.32924128191,-68.5763108744138,64.9395550005362,685.045944831189,86.7369588852451,86.7470325511413,16.5732416080866,72.331783161084,65.3720046757991,107.850875373574,125.548161673447,37.3727755562677,-24.6471215482275,-25.24991782623,-130.259795700564,1.10580529088137,-16.2915580681087,7.97671921014129,143.931866899811,-15.5988136590177,-2.51773570058383,221.889139270854,299.04853128991,-98.2337125686198,18.2789821280902,137.951860089079,185.650067661174,215.845306364586,24.4352199218092,-64.732488856037,-86.3622314289416,-65.3654207933384,-13.4488531999012,172.460473154909,-57.7761558346197,9.33685341498021,-110.3665834283,133.386991082426,NA,NA,NA,NA,NA
"3","was",43.0841661488066,166.003934944967,-101.765522833458,87.7940019882995,-84.9071993166423,-27.9216383413333,81.1366510999791,104.032780479158,-145.721647389538,79.1083555342331,-102.046519826189,-145.636151149201,25.3000154259652,163.831937272262,174.085127204298,104.341189638314,309.867780838943,-4.50899333225751,211.180842064772,778.152634891435,-29.1608060363702,-1.22904017710368,-225.510531196135,-23.6621453562666,-69.7251999522502,139.852294001687,75.1947773268045,-124.334733191869,42.2072479138177,39.0782942612893,-46.7885773049522,6.12694297287941,-15.8241363309738,-19.8804166857098,-95.3049088742696,82.2519603041526,-28.2887971799393,0.296590139770388,-51.6896251065375,10.84709875311,-64.0083370022577,57.2172376100811,-10.4480290332449,-29.4227936816136,-64.2751632523079,20.2891357604763,-40.8512626613718,-131.681012778323,4.58918814732709,-11.8457349606942,-14.7846916503648,20.1508741783712,236.64603086515,-187.437358793763,-4.04100500772086,173.37776184752,77.7608632954718,-98.6928799718317,-115.076622198382,-66.1391625929989,-126.886720536667,-114.042773794191,-31.2822111627955,-147.983588832674,50.5554984773417,-122.548140686179,-42.1485386916338,4.96268619379165,228.504469987229,-62.6110909639845,37.5125518317285,-57.3375531635521,393.682191368035,8.91666431255119,-26.4022750185416,-107.489843141788,-151.259703207418,244.728849861799,69.140355760412,-70.7589790474282,10.8132768219514,24.0707785003019,-105.370737972367,3.54418497753787,NA,NA,NA,NA,NA
"4","a",15.3514019129736,253.862294289964,-85.9996112081035,-10.0900268627696,-77.4668537478393,70.2259137517678,49.1053980391257,124.208758515391,-9.2442138177262,87.0653633762907,-28.9210047831583,-120.793533307363,11.856437777837,71.0244989391764,72.8555885535806,80.9091481582436,199.358995005601,12.0725208448569,NA,2360.14601437874,-48.865870658329,0.606788242772258,-130.072789025435,-2.58816861378905,-127.001313119255,-203.846873333117,37.3635589906666,-40.0596866951275,34.1619631045743,-49.9148411335685,-120.826851188906,30.1032881539875,-39.0474465502848,-43.4723729629907,-21.7139289238574,166.21006201354,-27.7564023143606,2.4701166603499,-50.7623709850831,0.525723016610423,-57.1837254056424,3.14944761826193,66.8919255086185,-74.8430049116872,-61.0735982698405,5.41368302772105,43.9682333953495,-121.785714682227,-42.7611787058827,51.2625852474207,-47.3063421859692,-47.4452841943987,22.7188201222151,-170.206500748611,254.545985308761,193.904648321469,28.9735649174921,-81.7585354999344,-94.5061228485374,-17.028407359768,-119.51364537277,-79.1913528792608,-31.2728642574829,-163.943896875489,85.1791300548715,51.5025322866548,-73.7793416826834,-59.9637668832715,364.960408684547,-36.9884693593446,1.74612153536626,-80.6269664161813,21.7143150748825,-22.0119777394842,-87.2397699588943,-79.2471974275358,-116.157174985894,-42.1768794830642,-15.2704352792746,94.0215687502348,-80.5972905214772,3.80470358562378,-92.3748925164284,144.701378872642,NA,NA,NA,NA,NA
"5","period",15.183312502556,191.216395927472,-113.41439027149,158.620045264903,85.4322823301531,-51.1429664809849,11.1835306912593,98.7688134248087,-73.4377977472557,52.1728437711468,-135.734792390734,-131.400077911959,21.4653818981575,51.0430947718905,59.4294351803737,115.489251858421,131.130959588957,30.6187354020709,12.643067299934,1321.16256566048,-46.103209103432,12.0172171930824,-68.6671444521846,-200.273110469983,-25.8110302017429,-200.598954996106,-1.5583951689886,-125.247302936981,-29.7248248723173,-67.432002646424,18.7688335209781,46.1624252012173,-97.9891710020074,-68.4924822697885,947.308621200112,360.314807740072,-57.0873894783074,42.0363003589011,-170.580506288719,-26.1708376421406,-107.245254397181,-9.68107740219027,-24.4579608460399,-136.292476836503,-115.577510726009,6.6023148596092,-25.5805067464537,-195.023959922465,-36.3852615728582,-14.5082152728666,-81.5022158469583,-50.9548882624739,6.53684697955318,-262.283645861491,69.0785095175559,147.587432136596,41.4418108624413,-103.594396679678,-130.932371223149,-94.8052954428453,66.0536667174874,-221.319905166587,-47.7962315207644,-194.54312676845,-69.3799488889532,-74.6241501454299,-62.7023342050594,-41.6476341906136,342.320561941252,-96.0450233709444,-25.837802723728,-49.9034332846082,-23.3659941922356,39.3096273906042,-90.1460326080125,-107.353811713166,-98.9134955397023,-76.412556120907,-58.7434576800583,-105.929800743923,-77.5708721629057,-71.0301091276808,-160.864506156274,46.308394134888,NA,NA,NA,NA,NA
"6","in",0.717784030890057,116.933114617465,-125.882567020781,82.851987562765,81.3129734677592,-20.8478622947828,-4.87897543044757,109.120769497274,-52.4829306036321,20.0868594552619,-133.483762304673,-160.714842228282,-69.4217733980989,17.4282181057192,119.970357878939,100.625168898279,161.113387922272,11.7817637562997,113.026766986384,1501.14932463508,-54.5133383473496,-0.311125967165713,-173.791660110785,31.8748430149722,-58.3632565357527,-87.9972896657148,-30.2208318412645,-130.697209943498,26.184605509196,67.5817265638604,-68.307714246929,22.1151155634334,-58.4357914406293,-59.6763948243502,117.490581100937,96.2310111588462,-33.02259974715,-11.6166465999399,-103.72599804581,-17.8135891151398,-107.59603120395,-39.8166573858285,4.22194823768681,-145.13289929665,-28.1743807610742,28.8514093940987,48.0584853669889,-127.233363730275,-66.0859952792778,7.70842514336328,-18.545516918167,-41.1472050080138,105.682425493683,-169.821929771187,70.2524901505202,138.641205084494,-9.13278589351804,-62.7257077358831,-107.79137252346,3.41621502361652,-40.2001829547187,-151.617063336726,-62.7775377101392,-226.463742854082,0.867314266106598,-3.52280419976211,-45.9639401871586,-58.5005403447399,201.232439335888,-84.7997801616646,37.6293366835474,-125.482259789867,-37.3017467785412,1.4523432865335,-61.8210224887179,-77.8685202846618,-118.708439096656,-78.2240148106328,-61.5650397594313,-64.3687051485967,-73.3920068497629,-53.5622589570371,-142.872815244398,42.6227819250909,NA,NA,NA,NA,NA
"7","the",-1.91583385119345,66.0039349449671,-102.765522833458,39.7940019882995,-88.9071993166423,-2.9216383413333,85.1366510999791,194.032780479158,-71.721647389538,64.1083555342331,-86.0465198261887,230.363848850799,-86.6999845740348,-4.16806272773796,110.085127204298,72.3411896383145,215.867780838943,-15.5089933322575,NA,NA,189.83919396363,-1.22904017710368,13.4894688038651,187.337854643733,-82.7251999522502,-132.147705998313,-33.8052226731955,-125.334733191869,-5.79275208618234,-56.9217057387107,-46.7885773049522,-1.87305702712059,-63.8241363309739,-43.8804166857098,-80.3049088742696,90.2519603041526,-30.2887971799393,7.29659013977039,1998.31037489346,-35.15290124689,-76.0083370022577,-82.782762389919,92.5519709667551,-115.422793681614,-65.2751632523079,267.289135760476,69.1487373386282,-66.6810127783225,-27.4108118526729,-28.8457349606942,-17.7846916503648,-19.8491258216288,12.6460308651503,-104.437358793763,NA,1317.37776184752,-48.2391367045282,-79.6928799718317,-105.076622198382,113.860837407001,-118.886720536667,-144.042773794191,-48.2822111627955,-163.983588832674,34.5554984773417,7.45185931382094,-90.1485386916338,-60.0373138062084,NA,-92.6110909639846,-4.48744816827146,-138.337553163552,-56.3178086319648,-23.0833356874488,-86.4022750185416,-71.4898431417878,-141.259703207418,-54.2711501382013,3.14035576041196,-86.7589790474282,-67.1867231780486,94.0707785003019,-129.370737972367,13.5441849775402,NA,NA,NA,NA,NA
"8","Dutch",-29.1830696153605,15.1455755999706,-40.5314344588129,1569.67803083937,77.6524551145546,-39.0691904344344,-4.83209583916744,93.8568024429251,-69.1990809613498,71.1513476921755,-38.1720348692192,-140.47876899104,230.743593074093,48.6393756053477,83.3146658550151,134.773231118385,271.376566672286,73.9094924906281,444.488992221547,116.15925540413,147.544258585589,-19.0648685969796,-127.948273366835,-64.7361220987442,21.5509132147547,-140.448538663508,159.025995662942,-137.60977968861,2.25253272306104,-65.9285703438529,889.249696579001,-1.84940220822864,-96.6008261116629,-68.288460408429,112.104111175318,94.2938585947654,-54.821192045518,-30.8769363808091,576.383120772008,-50.8315255103904,-75.832948598873,-9.71497239809983,21.2120164248917,-97.0025824515399,-58.4767282347753,56.1645884932316,172.329241281907,-33.5763108744176,-29.0604449994631,-33.9540551688091,-66.2630411147604,-33.2529674488589,-47.4267583919144,-162.668216838915,284.372004675797,178.85087537357,-61.4518383265486,93.372775556271,-114.647121548226,-55.2499178262299,-150.259795700564,-218.894194709121,-64.2915580681081,-117.023280789858,15.9318668998118,-91.598813659013,37.4822642994158,-90.1108607291452,253.048531289911,-118.233712568624,15.2789821280908,-147.048139910923,885.650067661188,-32.1546936354134,-85.5647800781888,-61.7324888560399,-146.362231428941,-81.3654207933384,-49.4488531999015,-115.539526845091,-92.77615583462,18.3368534149801,-150.366583428305,14.3869910824387,NA,NA,NA,NA,NA
"9","Golden",15.183312502556,199.216395927472,-1.4143902714903,518.620045264903,106.432282330153,-5.14296648098494,35.1835306912593,98.7688134248087,-10.4377977472557,67.1728437711468,-135.734792390734,-131.400077911959,-10.5346181018425,43.0430947718905,89.4294351803738,156.489251858421,350.130959588957,142.618735402071,NA,1953.16256566048,16.896790896568,12.0172171930824,-124.667144452185,-50.273110469983,-44.8110302017429,93.4010450038938,-0.558395168988596,-31.2473029369812,34.2751751276827,-55.432002646424,81.7688335209781,86.1624252012173,-158.989171002007,-68.4924822697885,-30.6913787998878,40.3148077400718,6.91261052169265,-19.9636996410989,-79.5805062887192,-34.1708376421406,-136.245254397181,38.3189225978097,76.5420391539601,29.7075231634969,-96.577510726009,-1.3976851403908,1020.41949325355,-138.023959922465,-36.3852615728582,-63.5082152728666,-33.5022158469582,-27.9548882624739,51.5368469795532,-115.283645861491,-9.92149048244414,109.587432136596,87.4418108624413,-137.594396679678,-110.932371223149,-4.8052954428453,-163.946333282513,-51.3199051665866,-33.7962315207644,-116.54312676845,26.6200511110468,-74.6241501454299,57.2976657949406,-57.6476341906136,413.320561941252,-116.045023370944,2.16219727627197,-164.903433284608,136.634005807764,39.3096273906042,-70.1460326080125,-15.3538117131659,21.0865044602977,-109.412556120907,-52.7434576800583,94.0701992560773,-83.5708721629057,36.9698908723192,-199.864506156274,-36.691605865112,NA,NA,NA,NA,NA
"10","Age",117.084166148807,146.003934944967,153.234477166542,31.7940019882995,64.0928006833577,51.0783616586667,-73.8633489000209,134.032780479158,-87.721647389538,79.1083555342331,-86.0465198261887,270.363848850799,201.300015425965,43.831937272262,116.085127204298,144.341189638314,340.867780838943,128.491006667742,476.180842064772,954.152634891433,96.8391939636298,-17.2290401771037,1597.48946880387,406.337854643733,NA,-170.147705998313,-3.8052226731955,3.66526680813101,50.2072479138177,-34.9217057387107,673.211422695048,30.1269429728794,2.17586366902615,-59.8804166857098,73.6950911257304,58.2519603041526,-14.2887971799393,-9.70340986022961,9.31037489346248,34.84709875311,-100.008337002258,15.217237610081,391.551970966755,-56.4227936816136,-44.2751632523079,131.289135760476,679.148737338628,-88.6810127783225,315.589188147327,-26.8457349606942,-11.7846916503648,-4.84912582162881,39.6460308651503,82.5626412062367,NA,183.37776184752,249.760863295472,169.307120028168,-118.076622198382,3.86083740700107,-83.8867205366672,5.95722620580888,-62.2822111627955,23.0164111673263,10.5554984773417,-82.5481406861791,429.851461308366,-59.0373138062084,NA,7.38890903601546,-29.4874481682715,-103.337553163552,73.6821913680352,200.916664312551,-66.4022750185416,-59.4898431417878,-61.2597032074176,-78.2711501382013,92.140355760412,97.2410209525718,-33.1867231780486,9.07077850030195,-98.3707379723668,20.5441849775402,NA,NA,NA,NA,NA
